"","dialect"
"spoken",0.26
"dialects",0.23
"speak",0.21
"mandarin",0.2
"language",0.17
"standard",0.15
"speakers",0.12
"accent",0.11
"distinct",0.11
"english",0.11
"ethnic",0.11
"words",0.11
"bilingual",0.1
"cities",0.1
"languages",0.1
"province",0.1
"provinces",0.1
"region",0.1
"regions",0.1
"similar",0.1
"widely",0.1
"cake",0.09
"common",0.09
"culturally",0.09
"dish",0.09
"german",0.09
"malaysia",0.09
"rural",0.09
"written",0.09
"areas",0.08
"autonomous",0.08
"capital",0.08
"china",0.08
"chinese",0.08
"eaten",0.08
"minority",0.08
"northern",0.08
"official",0.08
"parts",0.08
"people",0.08
"prefecture",0.08
"traditions",0.08
"understand",0.08
"especially",0.07
"instead",0.07
"often",0.07
"part",0.07
"pork",0.07
"problems",0.07
"related",0.07
