"","direct"
"trains",0.18
"buses",0.15
"flights",0.15
"train",0.15
"bus",0.14
"airport",0.12
"connection",0.12
"station",0.12
"change",0.11
"services",0.11
"journey",0.1
"cost",0.09
"railway",0.09
"service",0.09
"ticket",0.09
"tickets",0.09
"travel",0.09
"airports",0.08
"cheaper",0.08
"every",0.08
"fares",0.08
"flight",0.08
"hours",0.08
"lines",0.08
"major",0.08
"note",0.08
"operate",0.08
"operates",0.08
"ryanair",0.08
"terminal",0.08
"time",0.08
"times",0.08
"transfer",0.08
"air",0.07
"airlines",0.07
"also",0.07
"around",0.07
"away",0.07
"centre",0.07
"congestion",0.07
"european",0.07
"frequent",0.07
"network",0.07
"price",0.07
"run",0.07
"taxi",0.07
"timetables",0.07
"transport",0.07
