"","directly"
"ticket",0.11
"tickets",0.11
"card",0.1
"across",0.09
"ask",0.09
"bought",0.09
"price",0.09
"take",0.09
"use",0.09
"will",0.09
"always",0.08
"bars",0.08
"bus",0.08
"cost",0.08
"credit",0.08
"expensive",0.08
"front",0.08
"go",0.08
"inside",0.08
"make",0.08
"need",0.08
"note",0.08
"often",0.08
"pay",0.08
"prices",0.08
"selection",0.08
"start",0.08
"station",0.08
"stop",0.08
"want",0.08
"without",0.08
"behind",0.07
"can",0.07
"cheaper",0.07
"driver",0.07
"either",0.07
"even",0.07
"free",0.07
"get",0.07
"just",0.07
"making",0.07
"may",0.07
"next",0.07
"offer",0.07
"right",0.07
"staff",0.07
"sure",0.07
