"","discount"
"card",0.12
"ticket",0.11
"tickets",0.11
"cheaper",0.1
"free",0.09
"student",0.09
"valid",0.09
"cards",0.08
"chains",0.08
"discounted",0.08
"discounts",0.08
"english",0.08
"extra",0.08
"m-f",0.08
"paying",0.08
"price",0.08
"prices",0.08
"purchasing",0.08
"receive",0.08
"save",0.08
"start",0.08
"store",0.08
"stores",0.08
"book",0.07
"cost",0.07
"costs",0.07
"even",0.07
"expensive",0.07
"internet",0.07
"night",0.07
"note",0.07
"offer",0.07
"online",0.07
"pay",0.07
"streets",0.07
"unlimited",0.07
