"","drinks"
"soft",0.17
"beer",0.16
"food",0.16
"bar",0.15
"bars",0.15
"alcoholic",0.14
"drink",0.14
"night",0.14
"prices",0.14
"pay",0.13
"always",0.12
"available",0.12
"bottled",0.12
"cheap",0.12
"clubs",0.12
"cocktails",0.12
"cost",0.12
"dishes",0.12
"expensive",0.12
"find",0.12
"friendly",0.12
"live",0.12
"money",0.12
"price",0.12
"selection",0.12
"snacks",0.12
"staff",0.12
"ask",0.11
"buy",0.11
"expect",0.11
"good",0.11
"know",0.11
"like",0.11
"menu",0.11
"music",0.11
"sell",0.11
"sold",0.11
"try",0.11
"usually",0.11
"variety",0.11
"atmosphere",0.1
"beers",0.1
"best",0.1
"dance",0.1
"delicious",0.1
"different",0.1
"floor",0.1
"free",0.1
"fresh",0.1
"generally",0.1
"happy",0.1
"internet",0.1
"make",0.1
"offer",0.1
"place",0.1
"selling",0.1
"serve",0.1
"serves",0.1
"shop",0.1
"shops",0.1
"sit",0.1
"sometimes",0.1
"sure",0.1
"tap",0.1
"taxi",0.1
"taxis",0.1
"will",0.1
"'re",0.09
"alcohol",0.09
"around",0.09
"authentic",0.09
"avoid",0.09
"bottles",0.09
"cheaper",0.09
"coffee",0.09
"costs",0.09
"crowd",0.09
"customers",0.09
"dinner",0.09
"even",0.09
"every",0.09
"full",0.09
"get",0.09
"getting",0.09
"glasses",0.09
"go",0.09
"great",0.09
"hotels",0.09
"local",0.09
"locals",0.09
"looking",0.09
"lounge",0.09
"lunch",0.09
"meal",0.09
"might",0.09
"nice",0.09
"nightclub",0.09
"offers",0.09
"often",0.09
"order",0.09
"people",0.09
"per",0.09
"playing",0.09
"pool",0.09
"priced",0.09
"range",0.09
"reasonably",0.09
"restaurant",0.09
"room",0.09
"tend",0.09
"use",0.09
"want",0.09
"'ll",0.08
"'s",0.08
"anything",0.08
"back",0.08
"better",0.08
"bit",0.08
"book",0.08
"bring",0.08
"budget",0.08
"cafe",0.08
"can",0.08
"carry",0.08
"charge",0.08
"cheapest",0.08
"choice",0.08
"choose",0.08
"club",0.08
"cocktail",0.08
"cold",0.08
"crowded",0.08
"cuisine",0.08
"decent",0.08
"depending",0.08
"drinking",0.08
"driver",0.08
"drivers",0.08
"eat",0.08
"eating",0.08
"english",0.08
"enjoy",0.08
"especially",0.08
"evening",0.08
"excellent",0.08
"exchange",0.08
"extra",0.08
"fee",0.08
"feel",0.08
"fruit",0.08
"fun",0.08
"give",0.08
"hard",0.08
"imported",0.08
"keep",0.08
"leave",0.08
"list",0.08
"look",0.08
"made",0.08
"meals",0.08
"mixed",0.08
"need",0.08
"next",0.08
"nights",0.08
"note",0.08
"offering",0.08
"pick",0.08
"plenty",0.08
"prepared",0.08
"quality",0.08
"quite",0.08
"rate",0.08
"really",0.08
"reasonable",0.08
"right",0.08
"rooms",0.08
"safe",0.08
"seating",0.08
"sells",0.08
"serving",0.08
"slightly",0.08
"someone",0.08
"something",0.08
"stay",0.08
"table",0.08
"tables",0.08
"tasty",0.08
"tea",0.08
"think",0.08
"value",0.08
"vendors",0.08
"walk",0.08
"watch",0.08
"water",0.08
"well",0.08
"without",0.08
"worth",0.08
"advisable",0.07
"anywhere",0.07
"asking",0.07
"bags",0.07
"board",0.07
"busy",0.07
"cards",0.07
"check",0.07
"cool",0.07
"day",0.07
"djs",0.07
"european",0.07
"everything",0.07
"foreigners",0.07
"front",0.07
"guests",0.07
"hip",0.07
"juice",0.07
"just",0.07
"large",0.07
"little",0.07
"many",0.07
"may",0.07
"meet",0.07
"much",0.07
"negotiate",0.07
"normally",0.07
"notes",0.07
"option",0.07
"outside",0.07
"party",0.07
"paying",0.07
"person",0.07
"places",0.07
"plastic",0.07
"pretty",0.07
"run",0.07
"salad",0.07
"screen",0.07
"show",0.07
"smoking",0.07
"spend",0.07
"streets",0.07
"student",0.07
"style",0.07
"tends",0.07
"things",0.07
"time",0.07
"types",0.07
"wait",0.07
"wide",0.07
"young",0.07
