"","drugs"
"illegal",0.2
"drug",0.19
"legal",0.14
"insurance",0.13
"tipping",0.13
"avoid",0.11
"countries",0.11
"money",0.11
"police",0.11
"proof",0.11
"valuables",0.11
"accept",0.1
"amount",0.1
"aware",0.1
"cards",0.1
"carry",0.1
"criminal",0.1
"currency",0.1
"drivers",0.1
"forbidden",0.1
"laws",0.1
"passport",0.1
"possession",0.1
"problem",0.1
"require",0.1
"risk",0.1
"visa",0.1
"widely",0.1
"accepted",0.09
"alcohol",0.09
"apply",0.09
"ask",0.09
"asking",0.09
"assume",0.09
"attempting",0.09
"caught",0.09
"citizens",0.09
"common",0.09
"crime",0.09
"crimes",0.09
"dollars",0.09
"especially",0.09
"exchange",0.09
"law",0.09
"normally",0.09
"officer",0.09
"prepaid",0.09
"respect",0.09
"serious",0.09
"unfamiliar",0.09
"acceptable",0.08
"always",0.08
"bottled",0.08
"buying",0.08
"card",0.08
"careful",0.08
"cases",0.08
"coins",0.08
"credit",0.08
"deposit",0.08
"drinking",0.08
"drunk",0.08
"drunken",0.08
"expected",0.08
"generally",0.08
"give",0.08
"increasing",0.08
"initial",0.08
"keep",0.08
"license",0.08
"might",0.08
"never",0.08
"obtain",0.08
"phones",0.08
"rate",0.08
"refuse",0.08
"send",0.08
"sim",0.08
"someone",0.08
"tend",0.08
"uncommon",0.08
"unlikely",0.08
"usa",0.08
"use",0.08
"widespread",0.08
"wise",0.08
"without",0.08
"''''''",0.07
"addresses",0.07
"advantage",0.07
"anything",0.07
"care",0.07
"certain",0.07
"clubs",0.07
"debit",0.07
"driving",0.07
"embassy",0.07
"exception",0.07
"expect",0.07
"eye",0.07
"foreign",0.07
"instead",0.07
"issued",0.07
"medical",0.07
"mexico",0.07
"mind",0.07
"much",0.07
"note",0.07
"notes",0.07
"numbers",0.07
"official",0.07
"party",0.07
"passports",0.07
"paying",0.07
"policy",0.07
"political",0.07
"report",0.07
"rule",0.07
"rules",0.07
"stay",0.07
"strict",0.07
"told",0.07
"typically",0.07
"usually",0.07
"valid",0.07
