"","drunk"
"avoid",0.13
"eu",0.13
"countries",0.11
"applies",0.1
"citizens",0.1
"drivers",0.1
"especially",0.1
"generally",0.1
"locals",0.1
"often",0.1
"safe",0.1
"sometimes",0.1
"tend",0.1
"tipping",0.1
"accept",0.09
"alone",0.09
"cause",0.09
"common",0.09
"crime",0.09
"currency",0.09
"drink",0.09
"encounter",0.09
"even",0.09
"extremely",0.09
"know",0.09
"laws",0.09
"letter",0.09
"might",0.09
"pay",0.09
"police",0.09
"poor",0.09
"problem",0.09
"rarely",0.09
"serious",0.09
"sim",0.09
"widely",0.09
"alcohol",0.08
"always",0.08
"ask",0.08
"aware",0.08
"cards",0.08
"cheap",0.08
"drinking",0.08
"drugs",0.08
"english",0.08
"european",0.08
"expect",0.08
"expensive",0.08
"foreign",0.08
"foreigners",0.08
"girls",0.08
"illegal",0.08
"issue",0.08
"keep",0.08
"language",0.08
"may",0.08
"meat",0.08
"mobile",0.08
"money",0.08
"prepaid",0.08
"rate",0.08
"remember",0.08
"valid",0.08
"visa",0.08
"without",0.08
"accepted",0.07
"beware",0.07
"card",0.07
"cheaper",0.07
"compared",0.07
"credit",0.07
"debit",0.07
"exception",0.07
"find",0.07
"legal",0.07
"likely",0.07
"make",0.07
"parts",0.07
"people",0.07
"probably",0.07
"rates",0.07
"regions",0.07
"require",0.07
"similar",0.07
"tap",0.07
"taste",0.07
"try",0.07
"unless",0.07
"usually",0.07
"wear",0.07
"wine",0.07
"words",0.07
