"","due"
"lack",0.15
"often",0.14
"avoid",0.13
"common",0.13
"especially",0.13
"may",0.13
"even",0.12
"generally",0.12
"political",0.12
"proximity",0.12
"although",0.11
"fact",0.11
"foreign",0.11
"heavy",0.11
"language",0.11
"presence",0.11
"recent",0.11
"tourists",0.11
"almost",0.1
"always",0.1
"areas",0.1
"become",0.1
"citizens",0.1
"countries",0.1
"dangerous",0.1
"despite",0.1
"difficult",0.1
"extremely",0.1
"found",0.1
"government",0.1
"high",0.1
"however",0.1
"keep",0.1
"likely",0.1
"much",0.1
"must",0.1
"note",0.1
"safe",0.1
"security",0.1
"since",0.1
"still",0.1
"though",0.1
"traffic",0.1
"travel",0.1
"used",0.1
"usually",0.1
"violent",0.1
"widely",0.1
"advisable",0.09
"conditions",0.09
"considered",0.09
"crime",0.09
"drivers",0.09
"english",0.09
"expect",0.09
"illegal",0.09
"large",0.09
"least",0.09
"less",0.09
"make",0.09
"many",0.09
"mind",0.09
"need",0.09
"official",0.09
"pay",0.09
"people",0.09
"police",0.09
"poor",0.09
"popular",0.09
"possible",0.09
"regions",0.09
"relatively",0.09
"required",0.09
"roads",0.09
"rule",0.09
"similar",0.09
"situation",0.09
"sometimes",0.09
"strong",0.09
"sure",0.09
"tend",0.09
"time",0.09
"use",0.09
"without",0.09
"able",0.08
"accept",0.08
"accident",0.08
"advance",0.08
"advised",0.08
"among",0.08
"amount",0.08
"ask",0.08
"aware",0.08
"better",0.08
"certain",0.08
"cheap",0.08
"companies",0.08
"compared",0.08
"consider",0.08
"currency",0.08
"economic",0.08
"embassies",0.08
"ethnic",0.08
"ever",0.08
"expensive",0.08
"financial",0.08
"foreigners",0.08
"form",0.08
"higher",0.08
"highly",0.08
"issue",0.08
"issued",0.08
"know",0.08
"known",0.08
"languages",0.08
"later",0.08
"long",0.08
"low",0.08
"mainly",0.08
"major",0.08
"means",0.08
"million",0.08
"mostly",0.08
"nearly",0.08
"normally",0.08
"number",0.08
"numbers",0.08
"part",0.08
"parts",0.08
"passport",0.08
"prices",0.08
"problems",0.08
"quality",0.08
"quite",0.08
"rarely",0.08
"rate",0.08
"require",0.08
"respect",0.08
"rest",0.08
"result",0.08
"risk",0.08
"safety",0.08
"seen",0.08
"sensitive",0.08
"serious",0.08
"sim",0.08
"smaller",0.08
"speaking",0.08
"therefore",0.08
"thus",0.08
"tourist",0.08
"typically",0.08
"unless",0.08
"using",0.08
"violence",0.08
"visa",0.08
"visas",0.08
"weather",0.08
"will",0.08
"years",0.08
"accepted",0.07
"addition",0.07
"alcohol",0.07
"allowed",0.07
"another",0.07
"became",0.07
"bottled",0.07
"careful",0.07
"carry",0.07
"cities",0.07
"climate",0.07
"commonly",0.07
"control",0.07
"country's",0.07
"currently",0.07
"danger",0.07
"december",0.07
"drinking",0.07
"driving",0.07
"entry",0.07
"europe",0.07
"european",0.07
"far",0.07
"important",0.07
"increase",0.07
"increasing",0.07
"largely",0.07
"law",0.07
"laws",0.07
"like",0.07
"locals",0.07
"location",0.07
"made",0.07
"majority",0.07
"making",0.07
"medical",0.07
"might",0.07
"obtain",0.07
"offer",0.07
"planning",0.07
"popularity",0.07
"position",0.07
"prior",0.07
"provide",0.07
"rain",0.07
"relative",0.07
"routes",0.07
"services",0.07
"simply",0.07
"spoken",0.07
"standard",0.07
"stay",0.07
"throughout",0.07
"times",0.07
"transport",0.07
"travellers",0.07
"understood",0.07
"unheard",0.07
"unlike",0.07
"unlikely",0.07
"unsafe",0.07
"visitors",0.07
"wear",0.07
"well",0.07
"within",0.07
"work",0.07
