"","early"
"late",0.21
"morning",0.2
"century",0.11
"first",0.11
"began",0.1
"built",0.1
"now",0.1
"still",0.1
"became",0.09
"building",0.09
"history",0.09
"later",0.09
"may",0.09
"since",0.09
"time",0.09
"buildings",0.08
"collection",0.08
"day",0.08
"days",0.08
"especially",0.08
"leave",0.08
"note",0.08
"often",0.08
"original",0.08
"settled",0.08
"years",0.08
"afternoon",0.07
"always",0.07
"back",0.07
"book",0.07
"city's",0.07
"completed",0.07
"current",0.07
"european",0.07
"even",0.07
"evening",0.07
"generally",0.07
"held",0.07
"july",0.07
"june",0.07
"keep",0.07
"modern",0.07
"open",0.07
"period",0.07
"settlers",0.07
"sure",0.07
"used",0.07
