"","eclectic"
"mix",0.18
"featuring",0.12
"music",0.12
"menu",0.11
"art",0.1
"dining",0.1
"funky",0.1
"patio",0.1
"women's",0.1
"american",0.09
"arts",0.09
"boutique",0.09
"casual",0.09
"downtown",0.09
"gallery",0.09
"men's",0.09
"theatre",0.09
"bar",0.08
"beers",0.08
"bohemian",0.08
"classic",0.08
"crowd",0.08
"decor",0.08
"features",0.08
"fine",0.08
"gay",0.08
"hip",0.08
"hungarian",0.08
"live",0.08
"selection",0.08
"specials",0.08
"street",0.08
"teas",0.08
"trendy",0.08
"venue",0.08
"artists",0.07
"ave",0.07
"blocks",0.07
"books",0.07
"cafe",0.07
"collection",0.07
"indoor",0.07
"unique",0.07
"university",0.07
"upscale",0.07
