"","electronic"
"djs",0.12
"card",0.11
"music",0.11
"shopping",0.11
"fashion",0.1
"ticket",0.1
"brands",0.09
"business",0.09
"cards",0.09
"clubs",0.09
"dance",0.09
"floors",0.09
"lines",0.09
"machines",0.09
"modern",0.09
"tickets",0.09
"trams",0.09
"valid",0.09
"accept",0.08
"attention",0.08
"bars",0.08
"charge",0.08
"city's",0.08
"cost",0.08
"drivers",0.08
"especially",0.08
"gay",0.08
"give",0.08
"latin",0.08
"malls",0.08
"navigation",0.08
"night",0.08
"nightclub",0.08
"often",0.08
"outlets",0.08
"pay",0.08
"prepaid",0.08
"prices",0.08
"radio",0.08
"student",0.08
"university",0.08
"almost",0.07
"avoid",0.07
"basement",0.07
"booths",0.07
"cheaper",0.07
"clothes",0.07
"companies",0.07
"computer",0.07
"credit",0.07
"domestic",0.07
"even",0.07
"expensive",0.07
"fare",0.07
"foreign",0.07
"generally",0.07
"inside",0.07
"internet",0.07
"mall",0.07
"police",0.07
"range",0.07
"report",0.07
"students",0.07
"tram",0.07
"usually",0.07
