"","english"
"speak",0.36
"language",0.31
"speaking",0.29
"spoken",0.27
"speakers",0.21
"speaks",0.19
"languages",0.18
"foreign",0.17
"often",0.17
"widely",0.17
"staff",0.16
"common",0.15
"understood",0.15
"especially",0.14
"even",0.14
"generally",0.14
"people",0.14
"although",0.13
"drivers",0.13
"fluent",0.13
"know",0.13
"official",0.13
"sometimes",0.13
"usually",0.13
"ask",0.12
"countries",0.12
"european",0.12
"exchange",0.12
"expect",0.12
"foreigners",0.12
"help",0.12
"look",0.12
"may",0.12
"might",0.12
"much",0.12
"pay",0.12
"taught",0.12
"though",0.12
"understand",0.12
"will",0.12
"words",0.12
"avoid",0.11
"cards",0.11
"cheap",0.11
"cheaper",0.11
"cost",0.11
"costs",0.11
"currency",0.11
"dialect",0.11
"driver",0.11
"expensive",0.11
"french",0.11
"helpful",0.11
"likely",0.11
"locals",0.11
"many",0.11
"money",0.11
"outside",0.11
"prices",0.11
"quite",0.11
"tend",0.11
"tourist",0.11
"try",0.11
"visa",0.11
"younger",0.11
"able",0.1
"accept",0.1
"almost",0.1
"always",0.1
"better",0.1
"bilingual",0.1
"card",0.1
"change",0.1
"clean",0.1
"dishes",0.1
"find",0.1
"friendly",0.1
"good",0.1
"hard",0.1
"japanese",0.1
"keep",0.1
"knowledge",0.1
"least",0.1
"like",0.1
"make",0.1
"need",0.1
"price",0.1
"problems",0.1
"rather",0.1
"sim",0.1
"similar",0.1
"smaller",0.1
"ticket",0.1
"use",0.1
"without",0.1
"written",0.1
"young",0.1
"another",0.09
"bars",0.09
"bit",0.09
"buy",0.09
"certain",0.09
"citizens",0.09
"compared",0.09
"crime",0.09
"culture",0.09
"despite",0.09
"difficult",0.09
"dish",0.09
"due",0.09
"elsewhere",0.09
"europe",0.09
"extra",0.09
"floor",0.09
"give",0.09
"instead",0.09
"large",0.09
"larger",0.09
"leave",0.09
"less",0.09
"little",0.09
"majority",0.09
"menus",0.09
"modern",0.09
"mostly",0.09
"names",0.09
"night",0.09
"note",0.09
"number",0.09
"others",0.09
"owner",0.09
"parts",0.09
"passport",0.09
"police",0.09
"political",0.09
"probably",0.09
"problem",0.09
"rarely",0.09
"rice",0.09
"schools",0.09
"second",0.09
"seem",0.09
"spanish",0.09
"style",0.09
"sure",0.09
"taxis",0.09
"throughout",0.09
"tickets",0.09
"tourists",0.09
"uk",0.09
"version",0.09
"want",0.09
"well",0.09
"work",0.09
"'s",0.08
"accepted",0.08
"across",0.08
"also",0.08
"apply",0.08
"around",0.08
"atms",0.08
"basement",0.08
"basic",0.08
"beer",0.08
"behind",0.08
"book",0.08
"budget",0.08
"buses",0.08
"buying",0.08
"called",0.08
"charge",0.08
"check",0.08
"chinese",0.08
"cities",0.08
"close",0.08
"companies",0.08
"cover",0.08
"curry",0.08
"depending",0.08
"dialects",0.08
"different",0.08
"discount",0.08
"domestic",0.08
"drink",0.08
"drinks",0.08
"drunk",0.08
"educated",0.08
"embassy",0.08
"encounter",0.08
"every",0.08
"everywhere",0.08
"example",0.08
"expats",0.08
"extremely",0.08
"fairly",0.08
"far",0.08
"found",0.08
"german",0.08
"get",0.08
"getting",0.08
"given",0.08
"government",0.08
"higher",0.08
"hotels",0.08
"idea",0.08
"imported",0.08
"included",0.08
"internet",0.08
"japan",0.08
"local",0.08
"longer",0.08
"mainly",0.08
"mandarin",0.08
"map",0.08
"mean",0.08
"meat",0.08
"mind",0.08
"mixed",0.08
"mobile",0.08
"network",0.08
"normally",0.08
"numbers",0.08
"offer",0.08
"older",0.08
"operate",0.08
"paying",0.08
"per",0.08
"places",0.08
"popular",0.08
"pork",0.08
"possible",0.08
"range",0.08
"rate",0.08
"really",0.08
"regions",0.08
"relatively",0.08
"require",0.08
"run",0.08
"safe",0.08
"say",0.08
"see",0.08
"serve",0.08
"signs",0.08
"simply",0.08
"slightly",0.08
"someone",0.08
"somewhat",0.08
"standard",0.08
"start",0.08
"still",0.08
"students",0.08
"takes",0.08
"teaching",0.08
"time",0.08
"times",0.08
"tokyo",0.08
"travel",0.08
"typically",0.08
"useful",0.08
"using",0.08
"valid",0.08
"vary",0.08
"visas",0.08
"walk",0.08
"widespread",0.08
"world",0.08
"worth",0.08
"air",0.07
"among",0.07
"anywhere",0.07
"areas",0.07
"aware",0.07
"beware",0.07
"capital",0.07
"cause",0.07
"cheapest",0.07
"coins",0.07
"commonly",0.07
"consider",0.07
"consulate",0.07
"credit",0.07
"drinking",0.07
"entry",0.07
"eu",0.07
"except",0.07
"exception",0.07
"fare",0.07
"finding",0.07
"generation",0.07
"go",0.07
"guide",0.07
"however",0.07
"illegal",0.07
"including",0.07
"insurance",0.07
"learning",0.07
"legal",0.07
"limited",0.07
"london",0.07
"lot",0.07
"luggage",0.07
"machines",0.07
"made",0.07
"major",0.07
"market",0.07
"means",0.07
"mixture",0.07
"officially",0.07
"part",0.07
"person",0.07
"quality",0.07
"real",0.07
"ride",0.07
"sell",0.07
"separate",0.07
"served",0.07
"services",0.07
"side",0.07
"sign",0.07
"stations",0.07
"strong",0.07
"talk",0.07
"taxi",0.07
"teachers",0.07
"tell",0.07
"tends",0.07
"tipping",0.07
"towns",0.07
"trip",0.07
"unless",0.07
"unlikely",0.07
"used",0.07
