"","entry"
"visa",0.18
"fee",0.17
"passport",0.16
"visas",0.16
"card",0.15
"citizens",0.13
"countries",0.13
"credit",0.13
"stamp",0.13
"currency",0.12
"permit",0.11
"valid",0.11
"allowed",0.1
"apply",0.1
"avoid",0.1
"embassy",0.1
"enter",0.1
"foreign",0.1
"government",0.1
"issued",0.1
"must",0.1
"need",0.1
"passports",0.1
"pay",0.1
"required",0.1
"tickets",0.1
"accepted",0.09
"border",0.09
"bought",0.09
"cards",0.09
"entering",0.09
"fees",0.09
"foreigners",0.09
"generally",0.09
"insurance",0.09
"obtain",0.09
"official",0.09
"point",0.09
"require",0.09
"security",0.09
"ticket",0.09
"without",0.09
"accept",0.08
"advisable",0.08
"aware",0.08
"cause",0.08
"charge",0.08
"common",0.08
"cost",0.08
"costs",0.08
"customs",0.08
"drivers",0.08
"embassies",0.08
"even",0.08
"except",0.08
"exchange",0.08
"expensive",0.08
"inside",0.08
"keep",0.08
"may",0.08
"might",0.08
"mobile",0.08
"money",0.08
"note",0.08
"often",0.08
"police",0.08
"political",0.08
"price",0.08
"prices",0.08
"though",0.08
"travel",0.08
"unless",0.08
"advance",0.07
"although",0.07
"ask",0.07
"careful",0.07
"change",0.07
"cheaper",0.07
"consulate",0.07
"driver",0.07
"due",0.07
"english",0.07
"especially",0.07
"illegal",0.07
"least",0.07
"leaving",0.07
"level",0.07
"make",0.07
"nationals",0.07
"others",0.07
"plastic",0.07
"rate",0.07
"return",0.07
"sell",0.07
"territory",0.07
"use",0.07
"widely",0.07
