"","europe"
"european",0.21
"biggest",0.15
"countries",0.15
"medieval",0.13
"language",0.12
"worldwide",0.11
"eu",0.1
"europe's",0.1
"network",0.1
"republic",0.1
"sea",0.1
"citizens",0.09
"czech",0.09
"english",0.09
"german",0.09
"gothic",0.09
"longest",0.09
"mobile",0.09
"modern",0.09
"networks",0.09
"polish",0.09
"speaking",0.09
"trams",0.09
"world",0.09
"airlines",0.08
"airports",0.08
"capitals",0.08
"card",0.08
"carrier",0.08
"carriers",0.08
"cities",0.08
"germany",0.08
"important",0.08
"languages",0.08
"official",0.08
"phones",0.08
"russian",0.08
"ryanair",0.08
"second",0.08
"soviet",0.08
"spain",0.08
"speak",0.08
"speakers",0.08
"spoken",0.08
"tipping",0.08
"valid",0.08
"widely",0.08
"younger",0.08
"airport",0.07
"country's",0.07
"cultural",0.07
"due",0.07
"foreign",0.07
"france",0.07
"low-cost",0.07
"oldest",0.07
"roman",0.07
