"","everything"
"always",0.1
"even",0.1
"find",0.1
"food",0.1
"fresh",0.1
"great",0.1
"offer",0.1
"prices",0.1
"sure",0.1
"walking",0.1
"want",0.1
"'ll",0.09
"'re",0.09
"ask",0.09
"best",0.09
"come",0.09
"else",0.09
"experience",0.09
"feel",0.09
"get",0.09
"looking",0.09
"make",0.09
"menu",0.09
"right",0.09
"sell",0.09
"store",0.09
"will",0.09
"'s",0.08
"almost",0.08
"anything",0.08
"bars",0.08
"buy",0.08
"check",0.08
"clothing",0.08
"day",0.08
"expect",0.08
"expensive",0.08
"free",0.08
"friendly",0.08
"full",0.08
"good",0.08
"homemade",0.08
"just",0.08
"like",0.08
"little",0.08
"look",0.08
"lots",0.08
"much",0.08
"music",0.08
"need",0.08
"night",0.08
"offers",0.08
"options",0.08
"place",0.08
"pretty",0.08
"sandwiches",0.08
"selection",0.08
"shops",0.08
"sit",0.08
"something",0.08
"things",0.08
"try",0.08
"usually",0.08
"variety",0.08
"bit",0.07
"classic",0.07
"cost",0.07
"different",0.07
"drinks",0.07
"every",0.07
"excellent",0.07
"give",0.07
"go",0.07
"goods",0.07
"locals",0.07
"pay",0.07
"quite",0.07
"really",0.07
"see",0.07
"stores",0.07
"time",0.07
"vendors",0.07
"within",0.07
"without",0.07
