"","everywhere"
"else",0.12
"almost",0.11
"common",0.1
"price",0.1
"drivers",0.09
"especially",0.09
"find",0.09
"might",0.09
"usually",0.09
"want",0.09
"will",0.09
"always",0.08
"anywhere",0.08
"ask",0.08
"avoid",0.08
"better",0.08
"cheap",0.08
"cost",0.08
"english",0.08
"even",0.08
"expect",0.08
"generally",0.08
"get",0.08
"money",0.08
"often",0.08
"sometimes",0.08
"taxis",0.08
"tend",0.08
"widely",0.08
"without",0.08
"buy",0.07
"careful",0.07
"cheaper",0.07
"countries",0.07
"expensive",0.07
"foreign",0.07
"insurance",0.07
"know",0.07
"like",0.07
"make",0.07
"note",0.07
"paying",0.07
"prepaid",0.07
"quite",0.07
"use",0.07
"visa",0.07
