"","exhibits"
"museum",0.25
"history",0.18
"art",0.17
"hands-",0.14
"arts",0.13
"collection",0.13
"exhibit",0.13
"su",0.13
"features",0.12
"american",0.11
"artifacts",0.11
"admission",0.1
"artists",0.1
"building",0.1
"center",0.1
"children",0.1
"gallery",0.1
"historic",0.1
"permanent",0.1
"sa",0.1
"downtown",0.09
"featuring",0.09
"free",0.09
"gift",0.09
"m-f",0.09
"m-sa",0.09
"memorial",0.09
"science",0.09
"space",0.09
"st",0.09
"symphony",0.09
"campus",0.08
"children's",0.08
"closed",0.08
"convention",0.08
"cultural",0.08
"events",0.08
"frontier",0.08
"galleries",0.08
"hosts",0.08
"housed",0.08
"include",0.08
"indoor",0.08
"inn",0.08
"museum's",0.08
"original",0.08
"preserves",0.08
"programs",0.08
"rotating",0.08
"seniors",0.08
"street",0.08
"university",0.08
"visual",0.08
"christmas",0.07
"city's",0.07
"focusing",0.07
"grill",0.07
"historical",0.07
"including",0.07
"library",0.07
"live",0.07
"mall",0.07
"music",0.07
"open",0.07
"presents",0.07
"sushi",0.07
"theater",0.07
