"","expect"
"pay",0.3
"expensive",0.17
"prices",0.17
"will",0.17
"cheap",0.16
"drivers",0.16
"even",0.16
"generally",0.16
"may",0.16
"might",0.16
"much",0.16
"usually",0.16
"ask",0.15
"avoid",0.15
"better",0.15
"cost",0.15
"driver",0.15
"find",0.15
"money",0.15
"often",0.15
"sure",0.15
"try",0.15
"wait",0.15
"want",0.15
"although",0.14
"always",0.14
"especially",0.14
"know",0.14
"least",0.14
"locals",0.14
"make",0.14
"'re",0.13
"able",0.13
"anything",0.13
"aware",0.13
"bit",0.13
"cards",0.13
"extremely",0.13
"foreign",0.13
"good",0.13
"likely",0.13
"need",0.13
"passport",0.13
"price",0.13
"quite",0.13
"seem",0.13
"sometimes",0.13
"taxis",0.13
"tend",0.13
"visa",0.13
"'ll",0.12
"'s",0.12
"accept",0.12
"basic",0.12
"bring",0.12
"buy",0.12
"cheaper",0.12
"common",0.12
"currency",0.12
"depending",0.12
"english",0.12
"exchange",0.12
"food",0.12
"hotels",0.12
"illegal",0.12
"less",0.12
"note",0.12
"offer",0.12
"per",0.12
"probably",0.12
"sell",0.12
"sim",0.12
"taxi",0.12
"though",0.12
"unless",0.12
"usual",0.12
"without",0.12
"advance",0.11
"anywhere",0.11
"around",0.11
"book",0.11
"card",0.11
"charge",0.11
"cheapest",0.11
"check",0.11
"clean",0.11
"decent",0.11
"difficult",0.11
"drink",0.11
"drinks",0.11
"embassy",0.11
"get",0.11
"give",0.11
"hard",0.11
"higher",0.11
"keep",0.11
"leave",0.11
"like",0.11
"little",0.11
"long",0.11
"longer",0.11
"look",0.11
"night",0.11
"outside",0.11
"plan",0.11
"police",0.11
"prepared",0.11
"rarely",0.11
"really",0.11
"reasonable",0.11
"relatively",0.11
"say",0.11
"somewhat",0.11
"speak",0.11
"staff",0.11
"still",0.11
"time",0.11
"use",0.11
"worth",0.11
"''''",0.1
"'d",0.1
"air",0.1
"almost",0.1
"bars",0.1
"best",0.1
"booking",0.1
"buying",0.1
"careful",0.1
"carry",0.1
"cash",0.1
"companies",0.1
"compared",0.1
"costs",0.1
"countries",0.1
"credit",0.1
"despite",0.1
"expected",0.1
"extra",0.1
"far",0.1
"foreigners",0.1
"friendly",0.1
"getting",0.1
"help",0.1
"however",0.1
"idea",0.1
"loud",0.1
"luggage",0.1
"meal",0.1
"mind",0.1
