"","extra"
"pay",0.16
"cards",0.14
"charge",0.14
"credit",0.12
"drivers",0.12
"even",0.12
"may",0.12
"prices",0.12
"room",0.12
"accept",0.11
"ask",0.11
"card",0.11
"cost",0.11
"especially",0.11
"expensive",0.11
"money",0.11
"night",0.11
"often",0.11
"per",0.11
"price",0.11
"usually",0.11
"without",0.11
"add",0.1
"additional",0.1
"always",0.1
"avoid",0.1
"better",0.1
"careful",0.1
"cash",0.1
"change",0.1
"charged",0.1
"cheap",0.1
"cheaper",0.1
"depending",0.1
"driver",0.1
"expect",0.1
"generally",0.1
"give",0.1
"idea",0.1
"internet",0.1
"keep",0.1
"leave",0.1
"luggage",0.1
"meals",0.1
"need",0.1
"paying",0.1
"person",0.1
"rate",0.1
"sometimes",0.1
"staff",0.1
"sure",0.1
"ticket",0.1
"use",0.1
"work",0.1
"accepted",0.09
"aware",0.09
"book",0.09
"booking",0.09
"buy",0.09
"carry",0.09
"case",0.09
"check",0.09
"common",0.09
"costs",0.09
"countries",0.09
"currency",0.09
"day",0.09
"double",0.09
"english",0.09
"exchange",0.09
"fare",0.09
"fee",0.09
"foreign",0.09
"free",0.09
"friendly",0.09
"hard",0.09
"know",0.09
"least",0.09
"locals",0.09
"make",0.09
"might",0.09
"minimum",0.09
"note",0.09
"payment",0.09
"plan",0.09
"private",0.09
"required",0.09
"return",0.09
"rooms",0.09
"single",0.09
"standard",0.09
"surcharge",0.09
"tax",0.09
"tend",0.09
"time",0.09
"try",0.09
"using",0.09
"visa",0.09
"wait",0.09
"want",0.09
"will",0.09
"'ll",0.08
"'re",0.08
"able",0.08
"advance",0.08
"allow",0.08
"almost",0.08
"although",0.08
"amount",0.08
"applies",0.08
"apply",0.08
"asking",0.08
"back",0.08
"beware",0.08
"bit",0.08
"breakfast",0.08
"budget",0.08
"charges",0.08
"consider",0.08
"different",0.08
"difficult",0.08
"discount",0.08
"drinks",0.08
"either",0.08
"every",0.08
"extremely",0.08
"find",0.08
"getting",0.08
"help",0.08
"higher",0.08
"intend",0.08
"less",0.08
"like",0.08
"longer",0.08
"look",0.08
"low",0.08
"maximum",0.08
"mind",0.08
"mobile",0.08
"must",0.08
"normally",0.08
"offer",0.08
"order",0.08
"outside",0.08
"paid",0.08
"passengers",0.08
"passport",0.08
"pick",0.08
"police",0.08
"prepaid",0.08
"prepared",0.08
"purchased",0.08
"quite",0.08
"rates",0.08
"rather",0.08
"relatively",0.08
"reliable",0.08
"remember",0.08
"renting",0.08
"require",0.08
"risk",0.08
"safe",0.08
"sauce",0.08
"sauces",0.08
"save",0.08
"sell",0.08
"short",0.08
"simply",0.08
"spicy",0.08
"start",0.08
"stay",0.08
"tends",0.08
"though",0.08
"tickets",0.08
"tourists",0.08
"traffic",0.08
"trip",0.08
"typically",0.08
"unless",0.08
"upon",0.08
"valid",0.08
"visas",0.08
"wear",0.08
"wifi",0.08
"advisable",0.07
"anything",0.07
"atms",0.07
"available",0.07
"buying",0.07
"care",0.07
"companies",0.07
"compared",0.07
"departure",0.07
"dishes",0.07
"driver's",0.07
"european",0.07
"floor",0.07
"food",0.07
"front",0.07
"full",0.07
"get",0.07
"good",0.07
"helpful",0.07
"insist",0.07
"instead",0.07
"insurance",0.07
"language",0.07
"last",0.07
"likely",0.07
"limit",0.07
"little",0.07
"machines",0.07
"normal",0.07
"operate",0.07
"plus",0.07
"purchase",0.07
"quality",0.07
"rarely",0.07
"refuse",0.07
"run",0.07
"safety",0.07
"serious",0.07
"show",0.07
"shower",0.07
"side",0.07
"sim",0.07
"someone",0.07
"spend",0.07
"table",0.07
"taxis",0.07
"tell",0.07
"value",0.07
"worth",0.07
