"","f-sa"
"su",0.45
"sa",0.31
"m-th",0.24
"sa-su",0.22
"th",0.2
"ave",0.19
"st",0.18
"library",0.14
"rd",0.14
"blvd",0.13
"dr",0.13
"m-f",0.13
"indoor",0.12
"tu-sa",0.12
"inn",0.11
"m-sa",0.11
"arts",0.1
"center",0.1
"downtown",0.1
"fitness",0.1
"steakhouse",0.1
"upscale",0.1
"wireless",0.1
"american",0.09
"free",0.09
"grill",0.09
"interstate",0.09
"marriott",0.09
"menu",0.09
"restaurant",0.09
"children",0.08
"metro",0.08
"pizza",0.08
"sandwiches",0.08
"seating",0.08
"suites",0.08
"sushi",0.08
"transit",0.08
"art",0.07
"branch",0.07
"deli",0.07
"diner",0.07
"live",0.07
"ln",0.07
"lunch",0.07
"mall",0.07
"ne",0.07
"rapids",0.07
"theater",0.07
"theatre",0.07
"university",0.07
"washington",0.07
