"","facilities"
"swimming",0.14
"equipped",0.12
"include",0.12
"ensure",0.11
"internet",0.11
"rooms",0.11
"services",0.11
"available",0.1
"laundry",0.1
"private",0.1
"rates",0.1
"toilet",0.1
"conference",0.09
"deluxe",0.09
"furnished",0.09
"guests",0.09
"massage",0.09
"medical",0.09
"provide",0.09
"range",0.09
"shower",0.09
"spacious",0.09
"star",0.09
"start",0.09
"amenities",0.08
"banquet",0.08
"basic",0.08
"cable",0.08
"courses",0.08
"facility",0.08
"health",0.08
"hotel",0.08
"ideal",0.08
"kitchen",0.08
"lcd",0.08
"leisure",0.08
"meetings",0.08
"modern",0.08
"offers",0.08
"pool",0.08
"room",0.08
"set",0.08
"tv",0.08
"visitors",0.08
"access",0.07
"business",0.07
"centre",0.07
"deposit",0.07
"fitness",0.07
"free",0.07
"fully",0.07
"guest",0.07
"hotels",0.07
"including",0.07
"night",0.07
"per",0.07
"provided",0.07
"sports",0.07
"standard",0.07
"treatment",0.07
"water",0.07
