"","fairly"
"generally",0.11
"often",0.11
"quite",0.11
"good",0.1
"much",0.1
"usually",0.1
"'re",0.09
"'s",0.09
"although",0.09
"bit",0.09
"cheap",0.09
"common",0.09
"especially",0.09
"even",0.09
"expect",0.09
"getting",0.09
"large",0.09
"make",0.09
"may",0.09
"pay",0.09
"prices",0.09
"rather",0.09
"staff",0.09
"sure",0.09
"tend",0.09
"though",0.09
"'ll",0.08
"anything",0.08
"avoid",0.08
"drivers",0.08
"easy",0.08
"english",0.08
"expensive",0.08
"far",0.08
"know",0.08
"least",0.08
"less",0.08
"likely",0.08
"little",0.08
"locations",0.08
"look",0.08
"might",0.08
"need",0.08
"night",0.08
"number",0.08
"pretty",0.08
"probably",0.08
"run",0.08
"slightly",0.08
"standard",0.08
"traffic",0.08
"able",0.07
"almost",0.07
"bars",0.07
"better",0.07
"cost",0.07
"driver",0.07
"extremely",0.07
"find",0.07
"frequent",0.07
"locals",0.07
"note",0.07
"outside",0.07
"risk",0.07
"selection",0.07
"sim",0.07
"sometimes",0.07
"still",0.07
"travellers",0.07
"try",0.07
"well",0.07
"will",0.07
"worth",0.07
"young",0.07
