"","fines"
"harsh",0.16
"zones",0.14
"accidents",0.13
"enforced",0.13
"illegal",0.13
"laws",0.13
"rules",0.13
"legal",0.11
"prepaid",0.11
"tipping",0.11
"aware",0.1
"basis",0.1
"cards",0.1
"conditions",0.1
"customs",0.1
"issue",0.1
"license",0.1
"limit",0.1
"passport",0.1
"please",0.1
"safety",0.1
"sim",0.1
"speed",0.1
"strictly",0.1
"acceptable",0.09
"apply",0.09
"know",0.09
"limits",0.09
"needed",0.09
"phones",0.09
"planning",0.09
"prepared",0.09
"valid",0.09
"workers",0.09
"almost",0.08
"card",0.08
"coins",0.08
"countries",0.08
"debit",0.08
"eu",0.08
"exchange",0.08
"insurance",0.08
"knowing",0.08
"law",0.08
"mobile",0.08
"notes",0.08
"passports",0.08
"police",0.08
"rule",0.08
"surely",0.08
"tend",0.08
"unless",0.08
"visa",0.08
"yearly",0.08
"accept",0.07
"certain",0.07
"currency",0.07
"data",0.07
"drivers",0.07
"driving",0.07
"freezing",0.07
"gsm",0.07
"issued",0.07
"least",0.07
"paid",0.07
"permitted",0.07
"policy",0.07
"process",0.07
"prohibited",0.07
"required",0.07
"strict",0.07
"without",0.07
"work",0.07
