"","food"
"good",0.25
"restaurant",0.25
"fast",0.22
"bar",0.2
"great",0.2
"menu",0.2
"delicious",0.19
"best",0.18
"friendly",0.18
"place",0.18
"prices",0.18
"reasonable",0.18
"selection",0.18
"cheap",0.17
"fresh",0.17
"quality",0.17
"try",0.17
"variety",0.17
"authentic",0.16
"dishes",0.16
"drinks",0.16
"excellent",0.16
"live",0.16
"night",0.16
"serves",0.16
"vegetarian",0.16
"beer",0.15
"find",0.15
"lunch",0.15
"music",0.15
"serve",0.15
"atmosphere",0.14
"cafe",0.14
"chicken",0.14
"chinese",0.14
"coffee",0.14
"decent",0.14
"drink",0.14
"eat",0.14
"italian",0.14
"local",0.14
"mexican",0.14
"nice",0.14
"pizza",0.14
"serving",0.14
"shopping",0.14
"staff",0.14
"always",0.13
"available",0.13
"bars",0.13
"buy",0.13
"cuisine",0.13
"expensive",0.13
"fried",0.13
"like",0.13
"mall",0.13
"market",0.13
"places",0.13
"price",0.13
"pub",0.13
"shop",0.13
"shops",0.13
"stores",0.13
"street",0.13
"tasty",0.13
"thai",0.13
"ask",0.12
"beers",0.12
"bit",0.12
"cooked",0.12
"dinner",0.12
"eating",0.12
"expect",0.12
"get",0.12
"go",0.12
"hotel",0.12
"indian",0.12
"little",0.12
"make",0.12
"meal",0.12
"meat",0.12
"next",0.12
"offer",0.12
"open",0.12
"rooms",0.12
"seating",0.12
"stalls",0.12
"store",0.12
"sure",0.12
"usually",0.12
"want",0.12
"well",0.12
"wide",0.12
"will",0.12
"'re",0.11
"'s",0.11
"better",0.11
"budget",0.11
"business",0.11
"chain",0.11
"clean",0.11
"cost",0.11
"different",0.11
"dining",0.11
"free",0.11
"internet",0.11
"items",0.11
"just",0.11
"looking",0.11
"offers",0.11
"often",0.11
"pay",0.11
"pool",0.11
"prepared",0.11
"priced",0.11
"quite",0.11
"range",0.11
"right",0.11
"sandwiches",0.11
"seafood",0.11
"sell",0.11
"sit",0.11
"style",0.11
"worth",0.11
"also",0.1
"around",0.1
"asian",0.1
"breakfast",0.1
"bring",0.1
"burger",0.1
"burgers",0.1
"can",0.1
"curry",0.1
"day",0.1
"definitely",0.1
"enjoy",0.1
"even",0.1
"evening",0.1
"every",0.1
"everything",0.1
"family",0.1
"favorite",0.1
"fish",0.1
"floor",0.1
"fun",0.1
"hot",0.1
"including",0.1
"locals",0.1
"lots",0.1
"nights",0.1
"offering",0.1
"options",0.1
"outside",0.1
"plenty",0.1
"real",0.1
"really",0.1
"reasonably",0.1
"relaxed",0.1
"room",0.1
"selling",0.1
"service",0.1
"specials",0.1
"spicy",0.1
"stay",0.1
"sushi",0.1
"tables",0.1
"taxi",0.1
"upscale",0.1
"vendors",0.1
"wait",0.1
"'ll",0.09
"affordable",0.09
"avoid",0.09
"basic",0.09
"bbq",0.09
"behind",0.09
"big",0.09
"book",0.09
"buffet",0.09
"charge",0.09
"cheaper",0.09
"check",0.09
"chef",0.09
"choose",0.09
"clothing",0.09
"club",0.09
"cocktails",0.09
"crowd",0.09
"dance",0.09
"downtown",0.09
"especially",0.09
