"","forces"
"armed",0.17
"battles",0.17
"fighting",0.17
"troops",0.15
"war",0.14
"battle",0.12
"conflict",0.12
"control",0.11
"military",0.11
"ongoing",0.11
"security",0.11
"army",0.1
"launched",0.1
"death",0.09
"embassies",0.09
"ended",0.09
"political",0.09
"situation",0.09
"soldiers",0.09
"allied",0.08
"blood",0.08
"civil",0.08
"force",0.08
"fought",0.08
"gain",0.08
"largely",0.08
"march",0.08
"occupied",0.08
"strategic",0.08
"attempt",0.07
"british",0.07
"christian",0.07
"december",0.07
"embassy",0.07
"jan",0.07
"killed",0.07
"led",0.07
"warning",0.07
