"","foreigners"
"foreign",0.19
"passport",0.17
"visa",0.17
"drivers",0.16
"pay",0.15
"currency",0.14
"accept",0.13
"asking",0.13
"embassy",0.13
"foreigner",0.13
"government",0.13
"police",0.13
"cheap",0.12
"citizens",0.12
"countries",0.12
"driver",0.12
"english",0.12
"expats",0.12
"korea",0.12
"likely",0.12
"ministry",0.12
"money",0.12
"notes",0.12
"security",0.12
"usually",0.12
"visas",0.12
"ask",0.11
"avoid",0.11
"buy",0.11
"cheaper",0.11
"chinese",0.11
"cost",0.11
"especially",0.11
"exchange",0.11
"generally",0.11
"korean",0.11
"may",0.11
"nationals",0.11
"passports",0.11
"political",0.11
"price",0.11
"prices",0.11
"sim",0.11
"speak",0.11
"taxis",0.11
"westerners",0.11
"without",0.11
"women",0.11
"apply",0.1
"atms",0.1
"card",0.1
"cards",0.1
"charges",0.1
"common",0.1
"drink",0.1
"even",0.1
"expect",0.1
"expensive",0.1
"higher",0.1
"issued",0.1
"know",0.1
"locals",0.1
"need",0.1
"obtain",0.1
"officers",0.1
"prepaid",0.1
"safer",0.1
"sometimes",0.1
"widely",0.1
"able",0.09
"accepted",0.09
"allowed",0.09
"aware",0.09
"better",0.09
"charge",0.09
"costs",0.09
"enter",0.09
"entry",0.09
"guards",0.09
"han",0.09
"help",0.09
"hotels",0.09
"imported",0.09
"insist",0.09
"language",0.09
"languages",0.09
"least",0.09
"leave",0.09
"make",0.09
"meat",0.09
"might",0.09
"mobile",0.09
"must",0.09
"negotiate",0.09
"note",0.09
"official",0.09
"often",0.09
"paying",0.09
"permit",0.09
"permitted",0.09
"possible",0.09
"problem",0.09
"rarely",0.09
"rate",0.09
"refuse",0.09
"required",0.09
"risk",0.09
"safe",0.09
"sell",0.09
"sold",0.09
"staff",0.09
"sure",0.09
"taxi",0.09
"tend",0.09
"tickets",0.09
"tipping",0.09
"tourists",0.09
"try",0.09
"trying",0.09
"unless",0.09
"use",0.09
"will",0.09
"although",0.08
"always",0.08
"applies",0.08
"asked",0.08
"bags",0.08
"bargain",0.08
"bargaining",0.08
"beware",0.08
"bills",0.08
"border",0.08
"buying",0.08
"carry",0.08
"change",0.08
"china",0.08
"consulate",0.08
"depending",0.08
"dollars",0.08
"drinking",0.08
"drunk",0.08
"due",0.08
"embassies",0.08
"enforced",0.08
"extremely",0.08
"fee",0.08
"flights",0.08
"friendship",0.08
"get",0.08
"getting",0.08
"go",0.08
"heavy",0.08
"id",0.08
"illegal",0.08
"instead",0.08
"issue",0.08
"keep",0.08
"less",0.08
"like",0.08
"much",0.08
"offices",0.08
"ones",0.08
"overpriced",0.08
"pagoda",0.08
"payment",0.08
"people",0.08
"plastic",0.08
"quite",0.08
"receive",0.08
"report",0.08
"say",0.08
"seriously",0.08
"shared",0.08
"similar",0.08
"situation",0.08
"slightly",0.08
"someone",0.08
"standards",0.08
"stay",0.08
"takes",0.08
"tell",0.08
"though",0.08
"ticket",0.08
"travel",0.08
"violence",0.08
"want",0.08
"widespread",0.08
"words",0.08
"work",0.08
"written",0.08
"advance",0.07
"advisable",0.07
"agree",0.07
"armed",0.07
"bigger",0.07
"bottled",0.07
"bottles",0.07
"buses",0.07
"charged",0.07
"clean",0.07
"compared",0.07
"control",0.07
"country's",0.07
"cover",0.07
"crossing",0.07
"difficult",0.07
"dish",0.07
"dishes",0.07
"domestic",0.07
"drinks",0.07
"eaten",0.07
"ethnic",0.07
"expat",0.07
"expected",0.07
"find",0.07
"fixed",0.07
"give",0.07
"gsm",0.07
"however",0.07
"internet",0.07
"legally",0.07
"let",0.07
"look",0.07
"mind",0.07
"obviously",0.07
"office",0.07
"paid",0.07
"people's",0.07
"polite",0.07
"prepared",0.07
"probably",0.07
"really",0.07
"regardless",0.07
"regions",0.07
"republic",0.07
"require",0.07
"rule",0.07
"save",0.07
"seem",0.07
"soviet",0.07
"speaking",0.07
"stick",0.07
"teachers",0.07
"travellers",0.07
"ubiquitous",0.07
