"","founded"
"became",0.13
"century",0.13
"oldest",0.12
"city's",0.11
"first",0.11
"monastery",0.11
"building",0.1
"church",0.1
"later",0.1
"museum",0.1
"today",0.1
"buildings",0.09
"built",0.09
"cathedral",0.09
"center",0.09
"city",0.09
"destroyed",0.09
"moscow",0.09
"originally",0.09
"russian",0.09
"abbey",0.08
"art",0.08
"began",0.08
"foundation",0.08
"now",0.08
"school",0.08
"university",0.08
"years",0.08
"catholic",0.07
"continued",0.07
"cultural",0.07
"dos",0.07
"historical",0.07
"history",0.07
"modern",0.07
"named",0.07
"original",0.07
