"","friday"
"saturday",0.4
"monday",0.31
"thursday",0.24
"sunday",0.23
"tuesday",0.19
"nights",0.18
"wednesday",0.17
"open",0.16
"live",0.14
"music",0.14
"night",0.13
"bar",0.12
"every",0.12
"street",0.12
"evenings",0.11
"free",0.11
"lunch",0.11
"saturdays",0.11
"closed",0.1
"dinner",0.1
"events",0.1
"gallery",0.1
"menu",0.1
"restaurant",0.1
"selection",0.1
"st",0.1
"weekend",0.1
"art",0.09
"bands",0.09
"cafe",0.09
"club",0.09
"dance",0.09
"dining",0.09
"event",0.09
"fridays",0.09
"held",0.09
"library",0.09
"lounge",0.09
"market",0.09
"movies",0.09
"pizza",0.09
"pub",0.09
"selections",0.09
"sundays",0.09
"week",0.09
"afternoon",0.08
"arts",0.08
"atmosphere",0.08
"baseball",0.08
"corner",0.08
"day",0.08
"days",0.08
"downtown",0.08
"evening",0.08
"features",0.08
"featuring",0.08
"fine",0.08
"food",0.08
"gourmet",0.08
"grill",0.08
"indoor",0.08
"inn",0.08
"italian",0.08
"late",0.08
"mall",0.08
"midnight",0.08
"movie",0.08
"outdoor",0.08
"parking",0.08
"play",0.08
"pubs",0.08
"sandwiches",0.08
"service",0.08
"serving",0.08
"shopping",0.08
"specials",0.08
"students",0.08
"variety",0.08
"american",0.07
"call",0.07
"children",0.07
"craft",0.07
"dj",0.07
"first",0.07
"fitness",0.07
"great",0.07
"house",0.07
"monthly",0.07
"nightclub",0.07
"offers",0.07
"owned",0.07
"phone",0.07
"plays",0.07
"pool",0.07
"public",0.07
"serves",0.07
"special",0.07
"sports",0.07
"theatre",0.07
"tours",0.07
"washington",0.07
"weekends",0.07
"wide",0.07
