"","garden"
"botanical",0.22
"gardens",0.18
"house",0.12
"restaurant",0.12
"bar",0.11
"art",0.1
"flower",0.1
"plants",0.1
"pool",0.1
"room",0.1
"rooms",0.1
"breakfast",0.09
"free",0.09
"friendly",0.09
"hotel",0.09
"live",0.09
"menu",0.09
"open",0.09
"selection",0.09
"style",0.09
"beer",0.08
"building",0.08
"cafe",0.08
"corner",0.08
"floor",0.08
"flowers",0.08
"food",0.08
"garden'''",0.08
"italian",0.08
"japanese",0.08
"jersey",0.08
"lounge",0.08
"music",0.08
"night",0.08
"palace",0.08
"shop",0.08
"shopping",0.08
"street",0.08
"vegetarian",0.08
"atmosphere",0.07
"authentic",0.07
"children",0.07
"children's",0.07
"collection",0.07
"delicious",0.07
"dinner",0.07
"double",0.07
"excellent",0.07
"exotic",0.07
"family",0.07
"large",0.07
"mall",0.07
"offers",0.07
"place",0.07
"staff",0.07
"students",0.07
"swimming",0.07
"terrace",0.07
"variety",0.07
"villa",0.07
