"","give"
"will",0.17
"money",0.16
"ask",0.15
"pay",0.15
"even",0.14
"accept",0.13
"always",0.13
"avoid",0.13
"driver",0.13
"expensive",0.13
"idea",0.13
"may",0.13
"sure",0.13
"try",0.13
"cards",0.12
"common",0.12
"currency",0.12
"exchange",0.12
"find",0.12
"keep",0.12
"know",0.12
"locals",0.12
"make",0.12
"often",0.12
"price",0.12
"want",0.12
"without",0.12
"'ll",0.11
"'re",0.11
"asking",0.11
"better",0.11
"card",0.11
"drivers",0.11
"expect",0.11
"foreign",0.11
"get",0.11
"leave",0.11
"look",0.11
"might",0.11
"much",0.11
"need",0.11
"offer",0.11
"passport",0.11
"prepaid",0.11
"sell",0.11
"sometimes",0.11
"still",0.11
"time",0.11
"usually",0.11
"able",0.1
"almost",0.1
"another",0.1
"atms",0.1
"back",0.1
"bit",0.1
"buy",0.1
"buying",0.1
"charge",0.1
"check",0.1
"cost",0.1
"countries",0.1
"especially",0.1
"extra",0.1
"generally",0.1
"good",0.1
"help",0.1
"least",0.1
"little",0.1
"note",0.1
"paying",0.1
"people",0.1
"police",0.1
"prices",0.1
"problem",0.1
"really",0.1
"refuse",0.1
"see",0.1
"sim",0.1
"someone",0.1
"staff",0.1
"tell",0.1
"visa",0.1
"work",0.1
"'s",0.09
"advice",0.09
"anything",0.09
"anywhere",0.09
"aware",0.09
"book",0.09
"careful",0.09
"case",0.09
"cash",0.09
"cause",0.09
"cheap",0.09
"cheaper",0.09
"come",0.09
"depending",0.09
"english",0.09
"experience",0.09
"extremely",0.09
"feel",0.09
"friendly",0.09
"getting",0.09
"going",0.09
"hand",0.09
"happy",0.09
"higher",0.09
"illegal",0.09
"let",0.09
"like",0.09
"likely",0.09
"mind",0.09
"must",0.09
"never",0.09
"offices",0.09
"order",0.09
"paid",0.09
"prepared",0.09
"probably",0.09
"purchase",0.09
"quite",0.09
"rate",0.09
"rather",0.09
"show",0.09
"stay",0.09
"talking",0.09
"tend",0.09
"think",0.09
"though",0.09
"tour",0.09
"unless",0.09
"unlikely",0.09
"visas",0.09
"wait",0.09
"way",0.09
"worth",0.09
"accepted",0.08
"advance",0.08
"already",0.08
"although",0.08
"around",0.08
"arrival",0.08
"asked",0.08
"bags",0.08
"bargaining",0.08
"beware",0.08
"big",0.08
"booking",0.08
"can",0.08
"carry",0.08
"chance",0.08
"clean",0.08
"consider",0.08
"credit",0.08
"day",0.08
"days",0.08
"different",0.08
"difficult",0.08
"dishes",0.08
"dollars",0.08
"drink",0.08
"drinks",0.08
"drugs",0.08
"electronic",0.08
"embassy",0.08
"fill",0.08
"found",0.08
"giving",0.08
"go",0.08
"gsm",0.08
"hard",0.08
"helpful",0.08
"insist",0.08
"instead",0.08
"insurance",0.08
"language",0.08
"leaving",0.08
"less",0.08
"machines",0.08
"map",0.08
"meal",0.08
"means",0.08
"night",0.08
"notes",0.08
"official",0.08
"option",0.08
"outside",0.08
"per",0.08
"person",0.08
"pick",0.08
"plan",0.08
"plate",0.08
"problems",0.08
"put",0.08
"remember",0.08
"respect",0.08
"risk",0.08
"safe",0.08
"save",0.08
"say",0.08
"security",0.08
"sense",0.08
"shared",0.08
"since",0.08
"something",0.08
"speak",0.08
"start",0.08
"taking",0.08
"taxi",0.08
"taxis",0.08
"ticket",0.08
"tickets",0.08
"times",0.08
"tipping",0.08
"tourist",0.08
"tourists",0.08
"travel",0.08
"travellers",0.08
"trip",0.08
"trying",0.08
"use",0.08
"willing",0.08
"women",0.08
"'ve",0.07
"agree",0.07
"allow",0.07
"attention",0.07
"bars",0.07
"bottles",0.07
"bring",0.07
"called",0.07
"change",0.07
"coins",0.07
"compared",0.07
"couple",0.07
"decent",0.07
"definitely",0.07
"demand",0.07
"drinking",0.07
"either",0.07
"enter",0.07
"everything",0.07
"far",0.07
"fee",0.07
"foreigners",0.07
"gets",0.07
"given",0.07
"guide",0.07
"guides",0.07
"insight",0.07
"issue",0.07
"learn",0.07
"list",0.07
"long",0.07
"lots",0.07
"luggage",0.07
"made",0.07
"meet",0.07
"mobile",0.07
"morning",0.07
"next",0.07
"nice",0.07
"normal",0.07
"normally",0.07
"obtain",0.07
"office",0.07
"ones",0.07
"phones",0.07
"poor",0.07
"rarely",0.07
"rates",0.07
"require",0.07
"return",0.07
"ride",0.07
"safety",0.07
"serious",0.07
"side",0.07
"similar",0.07
"situation",0.07
"slow",0.07
"smaller",0.07
"sold",0.07
"staying",0.07
"things",0.07
"tips",0.07
"touts",0.07
"treated",0.07
"visit",0.07
"waiting",0.07
"wise",0.07
