"","guest"
"house",0.27
"rooms",0.18
"guesthouse",0.14
"bed",0.12
"room",0.12
"breakfast",0.11
"houses",0.11
"internet",0.11
"per",0.11
"available",0.1
"cottage",0.1
"guests",0.1
"lodge",0.1
"private",0.1
"bedrooms",0.09
"clean",0.09
"friendly",0.09
"house'''",0.09
"laundry",0.09
"person",0.09
"rs",0.09
"wireless",0.09
"food",0.08
"free",0.08
"meals",0.08
"offers",0.08
"spacious",0.08
"suite",0.08
"tv",0.08
"whirlpool",0.08
"computer",0.07
"conference",0.07
"double",0.07
"en-suite",0.07
"facilities",0.07
"kitchen",0.07
"night",0.07
"owner",0.07
"self",0.07
"views",0.07
