"","harbor"
"lighthouse",0.15
"marina",0.15
"dock",0.13
"waterfront",0.13
"shore",0.12
"bay",0.11
"island",0.11
"fishing",0.1
"kayaking",0.1
"maritime",0.1
"sound",0.1
"yacht",0.1
"bass",0.09
"charters",0.09
"ferry",0.09
"fleet",0.09
"inn",0.09
"kayak",0.09
"marine",0.09
"ocean",0.09
"boat",0.08
"charter",0.08
"fish",0.08
"juan",0.08
"lobster",0.08
"navy",0.08
"peninsula",0.08
"point",0.08
"rentals",0.08
"seafood",0.08
"washington",0.08
"whale",0.08
"wharf",0.08
"coastline",0.07
"cove",0.07
"launch",0.07
"sea",0.07
