"","held"
"festival",0.29
"event",0.22
"annually",0.21
"annual",0.18
"events",0.18
"weekend",0.16
"arts",0.14
"music",0.14
"year",0.13
"every",0.12
"fair",0.12
"saturday",0.12
"august",0.11
"festivals",0.11
"july",0.11
"parade",0.11
"show",0.11
"art",0.1
"dance",0.1
"fireworks",0.1
"june",0.1
"late",0.1
"live",0.1
"race",0.1
"sunday",0.1
"artists",0.09
"celebrate",0.09
"concerts",0.09
"friday",0.09
"hosts",0.09
"october",0.09
"september",0.09
"throughout",0.09
"venues",0.09
"attend",0.08
"bands",0.08
"crafts",0.08
"days",0.08
"display",0.08
"downtown",0.08
"features",0.08
"first",0.08
"japanese",0.08
"jazz",0.08
"local",0.08
"month",0.08
"musical",0.08
"special",0.08
"theatre",0.08
"various",0.08
"week",0.08
"yearly",0.08
"admission",0.07
"carnival",0.07
"celebrates",0.07
"ceremony",0.07
"chili",0.07
"convention",0.07
"early",0.07
"featuring",0.07
"film",0.07
"games",0.07
"historic",0.07
"musicians",0.07
"open",0.07
"original",0.07
"races",0.07
"street",0.07
"thursday",0.07
"variety",0.07
"world's",0.07
