"","hire"
"car",0.13
"available",0.12
"guide",0.12
"taxi",0.12
"can",0.1
"driver",0.1
"hired",0.1
"hiring",0.1
"will",0.1
"around",0.09
"boat",0.09
"day",0.09
"per",0.09
"taxis",0.09
"tourist",0.09
"transport",0.09
"arrange",0.08
"ask",0.08
"australia",0.08
"boats",0.08
"booking",0.08
"cost",0.08
"get",0.08
"good",0.08
"motorbike",0.08
"operate",0.08
"pay",0.08
"petrol",0.08
"travelling",0.08
"advance",0.07
"advisable",0.07
"book",0.07
"cycle",0.07
"drivers",0.07
"need",0.07
"private",0.07
"return",0.07
"trip",0.07
"want",0.07
