"","history"
"museum",0.3
"exhibits",0.18
"collection",0.15
"exhibition",0.15
"art",0.14
"historic",0.14
"historical",0.14
"building",0.13
"cultural",0.12
"former",0.12
"museums",0.12
"oldest",0.12
"rich",0.12
"artifacts",0.11
"buildings",0.11
"built",0.11
"first",0.11
"today",0.11
"years",0.11
"became",0.1
"dating",0.1
"displays",0.1
"hall",0.1
"military",0.1
"war",0.1
"center",0.09
"century",0.09
"city's",0.09
"culture",0.09
"dedicated",0.09
"display",0.09
"early",0.09
"events",0.09
"house",0.09
"permanent",0.09
"sa",0.09
"still",0.09
"arts",0.08
"back",0.08
"children",0.08
"church",0.08
"contains",0.08
"exhibit",0.08
"housed",0.08
"hungarian",0.08
"important",0.08
"later",0.08
"legends",0.08
"library",0.08
"memorial",0.08
"modern",0.08
"monument",0.08
"museum's",0.08
"now",0.08
"old",0.08
"original",0.08
"period",0.08
"regional",0.08
"restored",0.08
"role",0.08
"second",0.08
"shows",0.08
"society",0.08
"st",0.08
"theater",0.08
"theatre",0.08
"university",0.08
"american",0.07
"artefacts",0.07
"baroque",0.07
"castle",0.07
"features",0.07
"founded",0.07
"gallery",0.07
"german",0.07
"m-f",0.07
"maritime",0.07
"open",0.07
"present",0.07
"russian",0.07
"since",0.07
"su",0.07
"throughout",0.07
"took",0.07
"used",0.07
