"","holy"
"pilgrims",0.17
"religious",0.17
"temple",0.17
"lord",0.16
"hindu",0.14
"orthodox",0.14
"pilgrimage",0.14
"trinity",0.14
"monastery",0.13
"church",0.12
"goddess",0.12
"kms",0.12
"muslims",0.12
"sacred",0.12
"shiva",0.12
"shrine",0.12
"shrines",0.12
"god",0.11
"india",0.11
"saints",0.11
"spiritual",0.11
"sri",0.11
"ancient",0.1
"believed",0.1
"forbidden",0.1
"prayer",0.1
"said",0.1
"temples",0.1
"according",0.09
"altar",0.09
"built",0.09
"christian",0.09
"famous",0.09
"important",0.09
"jewish",0.09
"marble",0.09
"synagogue",0.09
"virgin",0.09
"baba",0.08
"bishop",0.08
"called",0.08
"delhi",0.08
"dip",0.08
"km",0.08
"monks",0.08
"remains",0.08
"roman",0.08
"saint",0.08
"worship",0.08
"baroque",0.07
"belongs",0.07
"chapel",0.07
"dedicated",0.07
"emperor",0.07
"honour",0.07
"mosque",0.07
"oldest",0.07
"patron",0.07
"place",0.07
"shape",0.07
"tamil",0.07
"women",0.07
