"","hours"
"takes",0.25
"hour",0.17
"buses",0.14
"cost",0.14
"bus",0.13
"costs",0.13
"minutes",0.13
"trip",0.13
"journey",0.12
"price",0.12
"travel",0.12
"daily",0.11
"depending",0.11
"every",0.11
"take",0.11
"train",0.11
"address",0.1
"around",0.1
"email",0.1
"get",0.1
"leave",0.1
"morning",0.1
"pay",0.1
"station",0.1
"taxi",0.1
"two",0.1
"will",0.1
"can",0.09
"change",0.09
"charge",0.09
"content",0.09
"day",0.09
"leaves",0.09
"per",0.09
"ride",0.09
"three",0.09
"ticket",0.09
"time",0.09
"trains",0.09
"advance",0.08
"available",0.08
"cheap",0.08
"days",0.08
"direct",0.08
"half",0.08
"least",0.08
"limited",0.08
"may",0.08
"night",0.08
"prices",0.08
"shinkansen",0.08
"start",0.08
"sure",0.08
"taking",0.08
"terminal",0.08
"tickets",0.08
"times",0.08
"usually",0.08
"wait",0.08
"away",0.07
"cheaper",0.07
"directions",0.07
"even",0.07
"expect",0.07
"express",0.07
"fax",0.07
"four",0.07
"free",0.07
"internet",0.07
"jr",0.07
"long",0.07
"longer",0.07
"need",0.07
"overnight",0.07
"taxis",0.07
"waiting",0.07
"want",0.07
