"","hwy"
"highway",0.19
"us",0.18
"inn",0.17
"ave",0.16
"rv",0.16
"bangkok",0.15
"motel",0.15
"phone",0.15
"rd",0.15
"st",0.14
"miles",0.12
"dr",0.11
"north",0.11
"creek",0.1
"grill",0.1
"ranch",0.1
"ban",0.09
"blvd",0.09
"mexican",0.09
"ne",0.09
"park",0.09
"provincial",0.09
"state",0.09
"steakhouse",0.09
"sw",0.09
"thai",0.09
"turn",0.09
"antiques",0.08
"baht",0.08
"chamber",0.08
"commerce",0.08
"depot",0.08
"downtown",0.08
"drive",0.08
"east",0.08
"golf",0.08
"jackson",0.08
"lake",0.08
"mile",0.08
"nw",0.08
"west",0.08
"campground",0.07
"canada",0.07
"onto",0.07
"outdoor",0.07
"recreation",0.07
"se",0.07
"si",0.07
"thailand",0.07
