"","idea"
"good",0.14
"give",0.13
"always",0.12
"ask",0.12
"avoid",0.12
"drivers",0.12
"even",0.12
"might",0.12
"pay",0.12
"sure",0.12
"usually",0.12
"better",0.11
"especially",0.11
"exchange",0.11
"generally",0.11
"know",0.11
"make",0.11
"money",0.11
"sometimes",0.11
"want",0.11
"'re",0.1
"buy",0.1
"carry",0.1
"check",0.1
"common",0.1
"currency",0.1
"expect",0.1
"expensive",0.1
"extra",0.1
"keep",0.1
"least",0.1
"may",0.1
"need",0.1
"often",0.1
"price",0.1
"will",0.1
"'ll",0.09
"able",0.09
"accept",0.09
"although",0.09
"atms",0.09
"book",0.09
"card",0.09
"cards",0.09
"cheaper",0.09
"countries",0.09
"embassy",0.09
"get",0.09
"getting",0.09
"hard",0.09
"intend",0.09
"less",0.09
"like",0.09
"much",0.09
"must",0.09
"note",0.09
"offer",0.09
"people",0.09
"plan",0.09
"prices",0.09
"probably",0.09
"quite",0.09
"refuse",0.09
"remember",0.09
"renting",0.09
"save",0.09
"security",0.09
"tap",0.09
"think",0.09
"use",0.09
"visa",0.09
"without",0.09
"work",0.09
"'s",0.08
"additional",0.08
"advantage",0.08
"anything",0.08
"asking",0.08
"attention",0.08
"bag",0.08
"belongings",0.08
"bit",0.08
"bottled",0.08
"bring",0.08
"cash",0.08
"certain",0.08
"charge",0.08
"cheap",0.08
"citizens",0.08
"come",0.08
"companies",0.08
"cost",0.08
"different",0.08
"driver",0.08
"english",0.08
"extremely",0.08
"find",0.08
"fixed",0.08
"foreign",0.08
"help",0.08
"higher",0.08
"illegal",0.08
"look",0.08
"mind",0.08
"official",0.08
"paid",0.08
"passport",0.08
"planning",0.08
"police",0.08
"possible",0.08
"problem",0.08
"rarely",0.08
"rate",0.08
"roads",0.08
"sell",0.08
"similar",0.08
"someone",0.08
"speak",0.08
"stay",0.08
"tend",0.08
"tends",0.08
"ticket",0.08
"time",0.08
"tipping",0.08
"try",0.08
"uncommon",0.08
"unless",0.08
"used",0.08
"valuables",0.08
"visas",0.08
"wait",0.08
"wear",0.08
"accepted",0.07
"allow",0.07
"apply",0.07
"buying",0.07
"careful",0.07
"cars",0.07
"coins",0.07
"credit",0.07
"difficult",0.07
"going",0.07
"language",0.07
"let",0.07
"little",0.07
"locals",0.07
"long",0.07
"lot",0.07
"mobile",0.07
"never",0.07
"offices",0.07
"order",0.07
"outside",0.07
"paying",0.07
"payment",0.07
"places",0.07
"put",0.07
"rather",0.07
"rent",0.07
"require",0.07
"required",0.07
"risk",0.07
"safe",0.07
"see",0.07
"sim",0.07
"something",0.07
"somewhat",0.07
"still",0.07
"though",0.07
"typically",0.07
"vehicle",0.07
