"","imported"
"beers",0.14
"selection",0.11
"visa",0.11
"beer",0.1
"countries",0.1
"currency",0.1
"embassy",0.1
"expensive",0.1
"foreign",0.1
"locals",0.1
"ask",0.09
"drivers",0.09
"foreigners",0.09
"goods",0.09
"items",0.09
"pay",0.09
"prices",0.09
"raw",0.09
"african",0.08
"brands",0.08
"cards",0.08
"charge",0.08
"cheap",0.08
"common",0.08
"drink",0.08
"drinks",0.08
"english",0.08
"exchange",0.08
"expats",0.08
"expect",0.08
"food",0.08
"generally",0.08
"know",0.08
"paying",0.08
"spirits",0.08
"usually",0.08
"visas",0.08
"wide",0.08
"accept",0.07
"always",0.07
"authentic",0.07
"avoid",0.07
"bit",0.07
"bottled",0.07
"cheaper",0.07
"chicken",0.07
"citizens",0.07
"compared",0.07
"cost",0.07
"dish",0.07
"dishes",0.07
"drinking",0.07
"especially",0.07
"european",0.07
"even",0.07
"find",0.07
"floor",0.07
"illegal",0.07
"like",0.07
"money",0.07
"often",0.07
"passport",0.07
"passports",0.07
"police",0.07
"range",0.07
"require",0.07
"sim",0.07
"sometimes",0.07
"tend",0.07
"try",0.07
"variety",0.07
"widely",0.07
