"","india"
"indian",0.27
"delhi",0.25
"hindu",0.25
"temple",0.25
"rs",0.24
"lord",0.23
"mumbai",0.21
"connected",0.17
"rickshaw",0.17
"shiva",0.17
"temple'''",0.15
"temples",0.15
"british",0.14
"kms",0.14
"raja",0.14
"arabian",0.13
"famous",0.13
"railway",0.13
"rickshaws",0.13
"sweets",0.13
"believed",0.12
"km",0.12
"muslim",0.12
"sri",0.12
"survey",0.12
"tamil",0.12
"tiger",0.12
"auto",0.11
"educated",0.11
"goddess",0.11
"holy",0.11
"monsoon",0.11
"non",0.11
"sacred",0.11
"started",0.11
"tribal",0.11
"ac",0.1
"buddhist",0.1
"district",0.1
"government",0.1
"nearest",0.1
"situated",0.1
"stand",0.1
"vegetarian",0.1
"charges",0.09
"cuisines",0.09
"important",0.09
"institute",0.09
"like",0.09
"nh",0.09
"pilgrimage",0.09
"popularly",0.09
"religious",0.09
"singapore",0.09
"till",0.09
"'''hotel",0.08
"available",0.08
"bazaar",0.08
"called",0.08
"cities",0.08
"consumed",0.08
"deluxe",0.08
"gauge",0.08
"hrs",0.08
"known",0.08
"palace",0.08
"pilgrims",0.08
"place",0.08
"rule",0.08
"ruled",0.08
"rulers",0.08
"said",0.08
"sanctuary",0.08
"sector",0.08
"spicy",0.08
"sweet",0.08
"trekking",0.08
"worship",0.08
"yoga",0.08
"ancient",0.07
"apart",0.07
"asia",0.07
"baba",0.07
"birth",0.07
"celebrated",0.07
"curries",0.07
"curry",0.07
"freedom",0.07
"god",0.07
"major",0.07
"month",0.07
"parts",0.07
"places",0.07
"silk",0.07
"state",0.07
