"","island"
"islands",0.42
"ferry",0.34
"island'''",0.33
"island's",0.29
"mainland",0.28
"ferries",0.26
"boat",0.24
"coral",0.24
"diving",0.2
"snorkeling",0.2
"beach",0.19
"beaches",0.19
"marine",0.19
"boats",0.18
"reefs",0.18
"scuba",0.18
"dive",0.17
"sea",0.17
"bay",0.15
"port",0.15
"coast",0.14
"dock",0.14
"reef",0.14
"tropical",0.14
"divers",0.13
"sand",0.13
"tip",0.13
"volcanic",0.13
"fishing",0.12
"lighthouse",0.12
"sandy",0.12
"snorkel",0.12
"waters",0.12
"dives",0.11
"fish",0.11
"harbor",0.11
"lagoon",0.11
"ocean",0.11
"offshore",0.11
"resort",0.11
"resorts",0.11
"charter",0.1
"harbour",0.1
"pier",0.1
"sailing",0.1
"seafood",0.1
"ship",0.1
"trips",0.1
"underwater",0.1
"yacht",0.1
"yachts",0.1
"barrier",0.09
"bungalows",0.09
"captain",0.09
"catamaran",0.09
"causeway",0.09
"cruise",0.09
"flights",0.09
"gulf",0.09
"inhabited",0.09
"isle",0.09
"long",0.09
"padi",0.09
"pristine",0.09
"rent",0.09
"shallow",0.09
"ships",0.09
"sq",0.09
"strait",0.09
"tide",0.09
"turtles",0.09
"clear",0.08
"cove",0.08
"crab",0.08
"flight",0.08
"group",0.08
"isolated",0.08
"jetty",0.08
"land",0.08
"landing",0.08
"lobster",0.08
"low",0.08
"marina",0.08
"nesting",0.08
"sail",0.08
"sharks",0.08
"sunset",0.08
"vacation",0.08
"vegetation",0.08
"air",0.07
"bicycles",0.07
"bird",0.07
"birds",0.07
"bring",0.07
"coastline",0.07
"currents",0.07
"kayak",0.07
"mangrove",0.07
"remote",0.07
"sound",0.07
"species",0.07
"volcano",0.07
"water",0.07
"white",0.07
