"","issue"
"visas",0.18
"visa",0.17
"countries",0.16
"currency",0.13
"embassy",0.13
"citizens",0.12
"police",0.12
"politics",0.12
"avoid",0.11
"crime",0.11
"exchange",0.11
"foreign",0.11
"lack",0.11
"notes",0.11
"pay",0.11
"prepaid",0.11
"require",0.11
"safety",0.11
"tipping",0.11
"valid",0.11
"apply",0.1
"aware",0.1
"cause",0.1
"common",0.1
"consulate",0.1
"dollars",0.1
"driver's",0.1
"drivers",0.1
"even",0.1
"fines",0.1
"generally",0.1
"harsh",0.1
"hospitals",0.1
"insurance",0.1
"languages",0.1
"money",0.1
"obtain",0.1
"often",0.1
"passport",0.1
"paying",0.1
"serious",0.1
"sim",0.1
"sometimes",0.1
"tend",0.1
"violent",0.1
"accepted",0.09
"card",0.09
"cards",0.09
"embassies",0.09
"foreigner",0.09
"longer",0.09
"nation",0.09
"official",0.09
"paid",0.09
"passports",0.09
"policy",0.09
"political",0.09
"problem",0.09
"rarely",0.09
"rate",0.09
"regions",0.09
"required",0.09
"sensitive",0.09
"sure",0.09
"traffic",0.09
"unheard",0.09
"unless",0.09
"usually",0.09
"without",0.09
"able",0.08
"accept",0.08
"accidents",0.08
"always",0.08
"areas",0.08
"ask",0.08
"asking",0.08
"atms",0.08
"care",0.08
"case",0.08
"cases",0.08
"certain",0.08
"compared",0.08
"considered",0.08
"driver",0.08
"drunk",0.08
"due",0.08
"especially",0.08
"exception",0.08
"expect",0.08
"expensive",0.08
"extremely",0.08
"foreigners",0.08
"getting",0.08
"government",0.08
"hard",0.08
"id",0.08
"illegal",0.08
"issued",0.08
"keep",0.08
"know",0.08
"language",0.08
"legal",0.08
"letter",0.08
"licence",0.08
"likely",0.08
"may",0.08
"medical",0.08
"mobile",0.08
"never",0.08
"payment",0.08
"problems",0.08
"proof",0.08
"quoted",0.08
"regardless",0.08
"respect",0.08
"risk",0.08
"safe",0.08
"security",0.08
"situation",0.08
"skills",0.08
"tap",0.08
"travel",0.08
"travellers",0.08
"use",0.08
"using",0.08
"vast",0.08
"''''",0.07
"acceptable",0.07
"amount",0.07
"applies",0.07
"asian",0.07
"better",0.07
"bills",0.07
"buy",0.07
"cash",0.07
"change",0.07
"check",0.07
"control",0.07
"despite",0.07
"difficulty",0.07
"ensure",0.07
"enter",0.07
"eu",0.07
"exceptions",0.07
"expected",0.07
"give",0.07
"higher",0.07
"insist",0.07
"law",0.07
"laws",0.07
"least",0.07
"note",0.07
"numbers",0.07
"parts",0.07
"plan",0.07
"polite",0.07
"poor",0.07
"prices",0.07
"refuse",0.07
"relatively",0.07
"republic",0.07
"rule",0.07
"talking",0.07
"tends",0.07
"widely",0.07
"widespread",0.07
"will",0.07
"women",0.07
