"","italian"
"italy",0.21
"pasta",0.2
"pizza",0.2
"restaurant",0.19
"authentic",0.16
"bar",0.15
"cuisine",0.15
"menu",0.15
"food",0.14
"pizzeria",0.14
"della",0.13
"di",0.13
"piazza",0.13
"deli",0.12
"dining",0.12
"lunch",0.12
"ristorante",0.12
"sandwiches",0.12
"selection",0.12
"sushi",0.12
"atmosphere",0.11
"dinner",0.11
"dishes",0.11
"downtown",0.11
"great",0.11
"indoor",0.11
"live",0.11
"mexican",0.11
"music",0.11
"offers",0.11
"pizzas",0.11
"shopping",0.11
"avenue",0.1
"classic",0.1
"cream",0.1
"family",0.1
"homemade",0.1
"outdoor",0.1
"salads",0.1
"serves",0.1
"street",0.1
"style",0.1
"upscale",0.1
"variety",0.1
"american",0.09
"ave",0.09
"bars",0.09
"casual",0.09
"chain",0.09
"delicious",0.09
"elegant",0.09
"entrees",0.09
"free",0.09
"fresh",0.09
"fun",0.09
"grill",0.09
"ice",0.09
"lounge",0.09
"mall",0.09
"open",0.09
"parking",0.09
"pub",0.09
"quality",0.09
"rome",0.09
"saturday",0.09
"seating",0.09
"serving",0.09
"specials",0.09
"stores",0.09
"wine",0.09
"affordable",0.08
"art",0.08
"best",0.08
"blvd",0.08
"breakfast",0.08
"business",0.08
"cafe",0.08
"city's",0.08
"classy",0.08
"coffee",0.08
"cozy",0.08
"dei",0.08
"delivery",0.08
"desserts",0.08
"diner",0.08
"eatery",0.08
"excellent",0.08
"exit",0.08
"features",0.08
"fine",0.08
"friday",0.08
"friendly",0.08
"full",0.08
"garden",0.08
"gourmet",0.08
"immigrants",0.08
"jersey",0.08
"marriott",0.08
"movie",0.08
"new",0.08
"offer",0.08
"pastas",0.08
"pastries",0.08
"patio",0.08
"seafood",0.08
"shop",0.08
"specialty",0.08
"sports",0.08
"st",0.08
"steak",0.08
"suites",0.08
"vegan",0.08
"york",0.08
"baked",0.07
"bands",0.07
"buffet",0.07
"chef",0.07
"closed",0.07
"cocktails",0.07
"crowd",0.07
"favorite",0.07
"featuring",0.07
"fitness",0.07
"flavors",0.07
"games",0.07
"intimate",0.07
"olive",0.07
"oven",0.07
"owned",0.07
"pool",0.07
"priced",0.07
"shops",0.07
"steaks",0.07
"store",0.07
"su",0.07
"sunday",0.07
"try",0.07
"villa",0.07
"wide",0.07
