"","jr"
"shinkansen",0.46
"expwy",0.43
"japan",0.4
"tokyo",0.32
"yen",0.31
"japanese",0.3
"japan's",0.28
"line",0.25
"cherry",0.23
"blossom",0.21
"line'''",0.21
"station",0.21
"express",0.16
"limited",0.16
"shrine",0.16
"minutes",0.15
"prefecture",0.15
"rapid",0.13
"trains",0.13
"change",0.12
"rail",0.12
"train",0.12
"holders",0.11
"shrines",0.11
"expressway",0.1
"fireworks",0.1
"min",0.1
"route",0.09
"cost",0.08
"costs",0.08
"famous",0.08
"fastest",0.08
"reserved",0.08
"round-trip",0.08
"run",0.08
"runs",0.08
"stations",0.08
"stop",0.08
"takes",0.08
"twin",0.08
"walk",0.08
"hours",0.07
"sushi",0.07
