"","kind"
"like",0.11
"different",0.1
"especially",0.09
"find",0.09
"made",0.09
"people",0.09
"'s",0.08
"always",0.08
"dish",0.08
"dishes",0.08
"drink",0.08
"even",0.08
"hardly",0.08
"inside",0.08
"kinds",0.08
"make",0.08
"meat",0.08
"place",0.08
"special",0.08
"sure",0.08
"try",0.08
"usually",0.08
"best",0.07
"common",0.07
"expensive",0.07
"forget",0.07
"fried",0.07
"good",0.07
"least",0.07
"might",0.07
"night",0.07
"price",0.07
"prices",0.07
"say",0.07
"sour",0.07
"spices",0.07
"sweet",0.07
"taste",0.07
"type",0.07
