"","km"
"temple",0.22
"lord",0.13
"ancient",0.12
"connected",0.12
"delhi",0.12
"india",0.12
"railway",0.12
"situated",0.12
"temples",0.12
"nearest",0.11
"rs",0.11
"waterfall",0.11
"bus",0.1
"buses",0.1
"da",0.1
"district",0.1
"goddess",0.1
"height",0.1
"hindu",0.1
"shiva",0.1
"baba",0.09
"baht",0.09
"believed",0.09
"distance",0.09
"dos",0.09
"ply",0.09
"road",0.09
"sq",0.09
"sri",0.09
"temple'''",0.09
"away",0.08
"das",0.08
"famous",0.08
"holy",0.08
"kms",0.08
"meters",0.08
"mumbai",0.08
"raja",0.08
"reach",0.08
"stand",0.08
"station",0.08
"waterfalls",0.08
"'''hotel",0.07
"dam",0.07
"important",0.07
"lies",0.07
"metres",0.07
"nh",0.07
"rickshaw",0.07
"tamil",0.07
