"","know"
"drivers",0.2
"ask",0.19
"driver",0.19
"sure",0.17
"usually",0.17
"will",0.17
"make",0.16
"want",0.16
"always",0.15
"let",0.15
"locals",0.15
"money",0.15
"often",0.15
"pay",0.15
"price",0.15
"someone",0.15
"tell",0.15
"even",0.14
"expect",0.14
"expensive",0.14
"find",0.14
"get",0.14
"might",0.14
"need",0.14
"sometimes",0.14
"speak",0.14
"'re",0.13
"asking",0.13
"avoid",0.13
"common",0.13
"english",0.13
"generally",0.13
"help",0.13
"keep",0.13
"may",0.13
"people",0.13
"prices",0.13
"say",0.13
"try",0.13
"unless",0.13
"accept",0.12
"anything",0.12
"aware",0.12
"better",0.12
"bring",0.12
"especially",0.12
"foreign",0.12
"give",0.12
"language",0.12
"likely",0.12
"look",0.12
"never",0.12
"paying",0.12
"police",0.12
"safe",0.12
"taxi",0.12
"without",0.12
"anywhere",0.11
"best",0.11
"buying",0.11
"card",0.11
"cards",0.11
"cheap",0.11
"currency",0.11
"drinks",0.11
"exchange",0.11
"getting",0.11
"going",0.11
"idea",0.11
"like",0.11
"simply",0.11
"something",0.11
"staff",0.11
"tend",0.11
"use",0.11
"visa",0.11
"'ll",0.1
"'s",0.1
"able",0.1
"almost",0.1
"atms",0.1
"back",0.1
"bit",0.1
"buy",0.1
"call",0.1
"careful",0.1
"carry",0.1
"charge",0.1
"cheaper",0.1
"check",0.1
"cost",0.1
"countries",0.1
"depending",0.1
"difficult",0.1
"drink",0.1
"embassy",0.1
"extremely",0.1
"foreigners",0.1
"go",0.1
"good",0.1
"hard",0.1
"higher",0.1
"just",0.1
"least",0.1
"less",0.1
"much",0.1
"note",0.1
"offer",0.1
"quite",0.1
"rate",0.1
"really",0.1
"refuse",0.1
"remember",0.1
"security",0.1
"see",0.1
"sell",0.1
"sim",0.1
"stay",0.1
"talk",0.1
"talking",0.1
"tap",0.1
"taxis",0.1
"things",0.1
"time",0.1
"tipping",0.1
"using",0.1
"vendors",0.1
"work",0.1
"accepted",0.09
"actually",0.09
"alone",0.09
"already",0.09
"although",0.09
"asked",0.09
"bottle",0.09
"case",0.09
"come",0.09
"companies",0.09
"drunk",0.09
"eat",0.09
"enter",0.09
"european",0.09
"extra",0.09
"far",0.09
"fare",0.09
"feel",0.09
"fines",0.09
"fixed",0.09
"food",0.09
"helpful",0.09
"illegal",0.09
"learn",0.09
"looking",0.09
"lot",0.09
"mind",0.09
"must",0.09
"negotiate",0.09
"night",0.09
"normally",0.09
"numbers",0.09
"offices",0.09
"official",0.09
"order",0.09
"others",0.09
"outside",0.09
"passport",0.09
"pick",0.09
"prepared",0.09
"probably",0.09
"problem",0.09
"problems",0.09
