"","known"
"well",0.16
"famous",0.15
"also",0.12
"best",0.11
"largest",0.11
"among",0.1
"capital",0.1
"especially",0.1
"made",0.1
"many",0.1
"name",0.1
"popular",0.1
"popularly",0.1
"ancient",0.09
"believed",0.09
"cities",0.09
"commonly",0.09
"home",0.09
"language",0.09
"major",0.09
"parts",0.09
"since",0.09
"years",0.09
"area",0.08
"areas",0.08
"called",0.08
"common",0.08
"cultural",0.08
"due",0.08
"found",0.08
"important",0.08
"india",0.08
"locally",0.08
"means",0.08
"now",0.08
"often",0.08
"one",0.08
"still",0.08
"temple",0.08
"temples",0.08
"throughout",0.08
"unique",0.08
"used",0.08
"widely",0.08
"world",0.08
"became",0.07
"become",0.07
"considered",0.07
"even",0.07
"first",0.07
"generally",0.07
"include",0.07
"japan's",0.07
"large",0.07
"later",0.07
"mainly",0.07
"named",0.07
"regions",0.07
"rule",0.07
"said",0.07
"shiva",0.07
"university",0.07
