"","la"
"de",0.47
"'''la",0.33
"del",0.27
"el",0.26
"des",0.25
"rue",0.25
"du",0.24
"calle",0.21
"los",0.21
"spanish",0.2
"san",0.19
"casa",0.18
"le",0.18
"et",0.17
"les",0.17
"french",0.16
"plaza",0.16
"santa",0.16
"las",0.15
"parque",0.15
"'''el",0.14
"carte",0.14
"puerto",0.14
"avenida",0.12
"juan",0.12
"playa",0.12
"santiago",0.12
"france",0.11
"jean",0.11
"mexico",0.11
"paris",0.11
"sierra",0.11
"sol",0.11
"spain",0.11
"au",0.1
"costa",0.1
"gran",0.1
"punta",0.1
"saint",0.1
"sur",0.1
"blocks",0.09
"colonial",0.09
"cruz",0.09
"dated",0.09
"nacional",0.09
"pedro",0.09
"pesos",0.09
"tapas",0.09
"con",0.08
"department",0.08
"mayor",0.08
"streets",0.08
"bars",0.07
"block",0.07
"caribbean",0.07
"hostels",0.07
"miguel",0.07
"parish",0.07
"rio",0.07
"typical",0.07
