"","large"
"number",0.16
"often",0.13
"selection",0.13
"shopping",0.13
"areas",0.12
"including",0.12
"many",0.12
"variety",0.12
"well",0.12
"area",0.11
"found",0.11
"largest",0.11
"modern",0.11
"outside",0.11
"range",0.11
"relatively",0.11
"usually",0.11
"bars",0.1
"especially",0.1
"generally",0.1
"good",0.1
"great",0.1
"include",0.1
"larger",0.1
"menu",0.1
"much",0.1
"popular",0.1
"several",0.1
"smaller",0.1
"wide",0.1
"although",0.09
"always",0.09
"avoid",0.09
"bar",0.09
"chain",0.09
"due",0.09
"end",0.09
"english",0.09
"even",0.09
"expect",0.09
"expensive",0.09
"fairly",0.09
"floor",0.09
"food",0.09
"free",0.09
"make",0.09
"open",0.09
"parking",0.09
"pool",0.09
"sometimes",0.09
"stores",0.09
"throughout",0.09
"almost",0.08
"also",0.08
"amount",0.08
"art",0.08
"beer",0.08
"behind",0.08
"best",0.08
"centre",0.08
"collection",0.08
"common",0.08
"excellent",0.08
"find",0.08
"fine",0.08
"foreign",0.08
"friendly",0.08
"home",0.08
"huge",0.08
"includes",0.08
"just",0.08
"keep",0.08
"less",0.08
"live",0.08
"long",0.08
"major",0.08
"majority",0.08
"making",0.08
"may",0.08
"music",0.08
"night",0.08
"offer",0.08
"park",0.08
"parts",0.08
"prices",0.08
"serves",0.08
"set",0.08
"staff",0.08
"still",0.08
"style",0.08
"system",0.08
"tend",0.08
"though",0.08
"top",0.08
"traffic",0.08
"try",0.08
"two",0.08
"various",0.08
"visitors",0.08
"worth",0.08
"'re",0.07
"amounts",0.07
"asian",0.07
"based",0.07
"become",0.07
"building",0.07
"clubs",0.07
"coffee",0.07
"complex",0.07
"dance",0.07
"different",0.07
"dining",0.07
"dishes",0.07
"drinks",0.07
"drivers",0.07
"every",0.07
"features",0.07
"garden",0.07
"highly",0.07
"impressive",0.07
"known",0.07
"late",0.07
"little",0.07
"locations",0.07
"look",0.07
"next",0.07
"note",0.07
"outdoor",0.07
"parks",0.07
"quite",0.07
"rather",0.07
"room",0.07
"stadium",0.07
"standard",0.07
"streets",0.07
"students",0.07
"three",0.07
"university",0.07
"upscale",0.07
"western",0.07
"within",0.07
