"","las"
"playa",0.25
"el",0.22
"miguel",0.2
"los",0.19
"calle",0.17
"san",0.17
"del",0.16
"de",0.15
"la",0.15
"parque",0.15
"gran",0.14
"spanish",0.14
"avenida",0.13
"plaza",0.13
"america",0.12
"pesos",0.12
"mexico",0.11
"nacional",0.11
"sol",0.11
"casa",0.1
"santiago",0.1
"sur",0.1
"'''el",0.09
"juan",0.09
"vendor",0.09
"antonio",0.08
"blocks",0.08
"casino",0.08
"con",0.08
"mexican",0.08
"puerto",0.08
"santa",0.08
"tours'''",0.08
"'''la",0.07
"'''san",0.07
"beaches",0.07
"rio",0.07
"surf",0.07
"wake",0.07
