"","latin"
"america's",0.11
"american",0.11
"colonial",0.11
"spanish",0.11
"america",0.1
"'''el",0.09
"countries",0.09
"del",0.09
"exchange",0.09
"refuse",0.09
"salsa",0.09
"accept",0.08
"avenida",0.08
"ceramic",0.08
"currency",0.08
"drivers",0.08
"electronic",0.08
"expensive",0.08
"gay",0.08
"immigrants",0.08
"know",0.08
"parque",0.08
"tipping",0.08
"bills",0.07
"brazilian",0.07
"businesses",0.07
"calle",0.07
"de",0.07
"emphasis",0.07
"generally",0.07
"illegal",0.07
"money",0.07
"music",0.07
"palm",0.07
"plaza",0.07
"urban",0.07
"usually",0.07
"word",0.07
"work",0.07
