"","legal"
"legally",0.18
"illegal",0.17
"laws",0.17
"tipping",0.16
"countries",0.15
"drugs",0.14
"law",0.14
"widely",0.14
"apply",0.13
"coins",0.13
"currency",0.13
"insurance",0.13
"passport",0.13
"police",0.13
"prepaid",0.13
"visa",0.13
"visas",0.13
"accepted",0.12
"alcohol",0.12
"avoid",0.12
"cards",0.12
"citizens",0.12
"exchange",0.12
"id",0.12
"issued",0.12
"obtain",0.12
"policy",0.12
"accept",0.11
"applies",0.11
"aware",0.11
"card",0.11
"common",0.11
"drivers",0.11
"fines",0.11
"generally",0.11
"nationals",0.11
"note",0.11
"political",0.11
"require",0.11
"risk",0.11
"sim",0.11
"valid",0.11
"widespread",0.11
"assume",0.1
"case",0.1
"crime",0.1
"data",0.1
"drinking",0.1
"driver's",0.1
"driving",0.1
"embassy",0.1
"emergency",0.1
"especially",0.1
"exception",0.1
"foreign",0.1
"government",0.1
"keep",0.1
"money",0.1
"notes",0.1
"official",0.1
"often",0.1
"passports",0.1
"phones",0.1
"remember",0.1
"required",0.1
"rules",0.1
"strict",0.1
"typically",0.1
"without",0.1
"work",0.1
"''''",0.09
"allowed",0.09
"always",0.09
"bottled",0.09
"buying",0.09
"care",0.09
"cases",0.09
"cash",0.09
"cause",0.09
"certain",0.09
"charged",0.09
"closely",0.09
"credit",0.09
"criminal",0.09
"customs",0.09
"debit",0.09
"dollars",0.09
"drug",0.09
"eu",0.09
"european",0.09
"even",0.09
"exceptions",0.09
"health",0.09
"higher",0.09
"languages",0.09
"license",0.09
"likely",0.09
"limit",0.09
"machines",0.09
"majority",0.09
"may",0.09
"medical",0.09
"nations",0.09
"officers",0.09
"offices",0.09
"pay",0.09
"payment",0.09
"politics",0.09
"possession",0.09
"problem",0.09
"purchase",0.09
"rate",0.09
"recognized",0.09
"respect",0.09
"safe",0.09
"serious",0.09
"similar",0.09
"someone",0.09
"subject",0.09
"tax",0.09
"tend",0.09
"ubiquitous",0.09
"unheard",0.09
"united",0.09
"unlike",0.09
"unlikely",0.09
"use",0.09
"usually",0.09
"violent",0.09
"acceptable",0.08
"amount",0.08
"anyone",0.08
"anywhere",0.08
"areas",0.08
"asked",0.08
"asking",0.08
"bills",0.08
"careful",0.08
"carrier",0.08
"carry",0.08
"carrying",0.08
"companies",0.08
"compared",0.08
"consulate",0.08
"country",0.08
"crimes",0.08
"crossings",0.08
"customary",0.08
"date",0.08
"dollar",0.08
"drink",0.08
"entering",0.08
"expected",0.08
"expensive",0.08
"extremely",0.08
"familiar",0.08
"following",0.08
"gsm",0.08
"hard",0.08
"issue",0.08
"issues",0.08
"know",0.08
"language",0.08
"larger",0.08
"let",0.08
"list",0.08
"longer",0.08
"make",0.08
"mind",0.08
"mobile",0.08
"must",0.08
"numbers",0.08
"officer",0.08
"paid",0.08
"paying",0.08
"practice",0.08
"rarely",0.08
"refuse",0.08
"regardless",0.08
"regions",0.08
"related",0.08
"rule",0.08
"severe",0.08
"smoking",0.08
"social",0.08
"sometimes",0.08
"states",0.08
"strictly",0.08
"sure",0.08
"system",0.08
"traffic",0.08
"treated",0.08
"treatment",0.08
"unable",0.08
"uncommon",0.08
"unless",0.08
"using",0.08
"violence",0.08
"wear",0.08
"whether",0.08
"''''''",0.07
"allow",0.07
"almost",0.07
"although",0.07
"atms",0.07
"avoiding",0.07
"better",0.07
"bill",0.07
"calls",0.07
"consider",0.07
"considered",0.07
"dangerous",0.07
"discuss",0.07
"drunk",0.07
"english",0.07
"expect",0.07
"heavy",0.07
"import",0.07
"insist",0.07
"instead",0.07
"land",0.07
"least",0.07
"led",0.07
"low",0.07
"nearly",0.07
"never",0.07
"normally",0.07
"others",0.07
"problems",0.07
"proof",0.07
"purchasing",0.07
"receive",0.07
"recent",0.07
"remain",0.07
"security",0.07
"send",0.07
"sensitive",0.07
"simply",0.07
"still",0.07
"tap",0.07
"term",0.07
"theft",0.07
"vast",0.07
"wearing",0.07
"words",0.07
