"","like"
"find",0.18
"looks",0.17
"different",0.16
"especially",0.16
"even",0.16
"feel",0.16
"people",0.16
"places",0.16
"almost",0.15
"called",0.15
"can",0.15
"cities",0.15
"lot",0.15
"try",0.15
"will",0.15
"'s",0.14
"also",0.14
"always",0.14
"good",0.14
"look",0.14
"make",0.14
"many",0.14
"usually",0.14
"want",0.14
"'re",0.13
"better",0.13
"big",0.13
"buy",0.13
"common",0.13
"food",0.13
"made",0.13
"might",0.13
"much",0.13
"place",0.13
"quite",0.13
"time",0.13
"without",0.13
"another",0.12
"areas",0.12
"avoid",0.12
"cheap",0.12
"drink",0.12
"expensive",0.12
"generally",0.12
"get",0.12
"locals",0.12
"often",0.12
"price",0.12
"really",0.12
"something",0.12
"sometimes",0.12
"sure",0.12
"taste",0.12
"ask",0.11
"best",0.11
"bit",0.11
"check",0.11
"dishes",0.11
"drinks",0.11
"drivers",0.11
"expect",0.11
"experience",0.11
"famous",0.11
"found",0.11
"getting",0.11
"go",0.11
"keep",0.11
"kind",0.11
"know",0.11
"may",0.11
"money",0.11
"night",0.11
"offer",0.11
"one",0.11
"parts",0.11
"pay",0.11
"quality",0.11
"see",0.11
"sell",0.11
"stay",0.11
"still",0.11
"things",0.11
"though",0.11
"tourists",0.11
"'ll",0.1
"among",0.1
"around",0.1
"bars",0.1
"budget",0.1
"cheaper",0.1
"come",0.1
"companies",0.1
"compared",0.1
"cost",0.1
"delicious",0.1
"dish",0.1
"eat",0.1
"english",0.1
"enjoy",0.1
"foreign",0.1
"hard",0.1
"help",0.1
"hotels",0.1
"huge",0.1
"inside",0.1
"instead",0.1
"just",0.1
"language",0.1
"least",0.1
"little",0.1
"long",0.1
"lots",0.1
"need",0.1
"nice",0.1
"order",0.1
"others",0.1
"police",0.1
"popular",0.1
"prices",0.1
"rest",0.1
"say",0.1
"serve",0.1
"similar",0.1
"sweet",0.1
"taxis",0.1
"tend",0.1
"type",0.1
"types",0.1
"typical",0.1
"use",0.1
"various",0.1
"well",0.1
"able",0.09
"although",0.09
"anything",0.09
"available",0.09
"aware",0.09
"away",0.09
"careful",0.09
"countries",0.09
"crowded",0.09
"culture",0.09
"definitely",0.09
"drinking",0.09
"driver",0.09
"every",0.09
"feels",0.09
"filled",0.09
"fried",0.09
"friendly",0.09
"give",0.09
"going",0.09
"government",0.09
"idea",0.09
"india",0.09
"indian",0.09
"kinds",0.09
"languages",0.09
"less",0.09
"looking",0.09
"love",0.09
"makes",0.09
"means",0.09
"modern",0.09
"mostly",0.09
"must",0.09
"never",0.09
"normal",0.09
"official",0.09
"option",0.09
"prepared",0.09
"problem",0.09
"rate",0.09
"remember",0.09
"safe",0.09
"seem",0.09
"since",0.09
"smaller",0.09
"sold",0.09
"speak",0.09
"spend",0.09
"think",0.09
"tourist",0.09
"traffic",0.09
"travel",0.09
"used",0.09
"variety",0.09
"visiting",0.09
