"","limited"
"japan",0.16
"jr",0.16
"express",0.15
"japanese",0.12
"service",0.12
"shinkansen",0.12
"require",0.11
"services",0.11
"expwy",0.1
"generally",0.1
"may",0.1
"note",0.1
"often",0.1
"travel",0.1
"'re",0.09
"advance",0.09
"although",0.09
"even",0.09
"pay",0.09
"unless",0.09
"valid",0.09
"without",0.09
"additional",0.08
"allow",0.08
"amount",0.08
"available",0.08
"cards",0.08
"change",0.08
"cost",0.08
"coverage",0.08
"ensure",0.08
"expect",0.08
"expensive",0.08
"holders",0.08
"hours",0.08
"japan's",0.08
"line",0.08
"line'''",0.08
"make",0.08
"number",0.08
"operate",0.08
"pass",0.08
"rail",0.08
"reserved",0.08
"run",0.08
"runs",0.08
"surcharge",0.08
"time",0.08
"trains",0.08
"ubiquitous",0.08
"use",0.08
"usually",0.08
"will",0.08
"accept",0.07
"access",0.07
"apply",0.07
"areas",0.07
"cash",0.07
"charge",0.07
"check",0.07
"consider",0.07
"cover",0.07
"despite",0.07
"either",0.07
"english",0.07
"fare",0.07
"fares",0.07
"highly",0.07
"larger",0.07
"likely",0.07
"much",0.07
"must",0.07
"need",0.07
"plan",0.07
"respect",0.07
"selection",0.07
"stations",0.07
"tend",0.07
"throughout",0.07
"tokyo",0.07
"traffic",0.07
"transfer",0.07
"unlimited",0.07
