"","lines"
"line",0.16
"network",0.13
"system",0.12
"bus",0.11
"cities",0.1
"european",0.1
"metro",0.1
"parts",0.1
"rail",0.1
"station",0.1
"stations",0.1
"stops",0.1
"subway",0.1
"ticket",0.1
"tickets",0.1
"train",0.1
"trains",0.1
"tram",0.1
"valid",0.1
"card",0.09
"connect",0.09
"electronic",0.09
"major",0.09
"modern",0.09
"shopping",0.09
"trams",0.09
"use",0.09
"additional",0.08
"almost",0.08
"avoid",0.08
"city's",0.08
"connecting",0.08
"direct",0.08
"especially",0.08
"jazz",0.08
"machines",0.08
"note",0.08
"often",0.08
"public",0.08
"regional",0.08
"routes",0.08
"rush",0.08
"served",0.08
"service",0.08
"several",0.08
"stadium",0.08
"streets",0.08
"traffic",0.08
"transfer",0.08
"transit",0.08
"university",0.08
"vending",0.08
"within",0.08
"airlines",0.07
"always",0.07
"cards",0.07
"central",0.07
"clubs",0.07
"cruise",0.07
"different",0.07
"fares",0.07
"fast",0.07
"numbered",0.07
"passengers",0.07
"pedestrian",0.07
"railway",0.07
"shipping",0.07
"smaller",0.07
"suburbs",0.07
"terminals",0.07
"travel",0.07
"unlimited",0.07
"urban",0.07
"useful",0.07
