"","little"
"bit",0.15
"good",0.15
"nice",0.15
"want",0.14
"will",0.14
"'s",0.13
"even",0.13
"find",0.13
"make",0.13
"prices",0.13
"worth",0.13
"'ll",0.12
"'re",0.12
"ask",0.12
"food",0.12
"get",0.12
"just",0.12
"might",0.12
"sure",0.12
"try",0.12
"always",0.11
"best",0.11
"better",0.11
"come",0.11
"expect",0.11
"expensive",0.11
"friendly",0.11
"great",0.11
"keep",0.11
"look",0.11
"may",0.11
"much",0.11
"pay",0.11
"place",0.11
"pretty",0.11
"quite",0.11
"really",0.11
"right",0.11
"see",0.11
"usually",0.11
"although",0.1
"back",0.1
"cheap",0.1
"cost",0.1
"give",0.1
"go",0.1
"less",0.1
"like",0.1
"offer",0.1
"often",0.1
"sometimes",0.1
"walk",0.1
"way",0.1
"actually",0.09
"around",0.09
"behind",0.09
"big",0.09
"bring",0.09
"buy",0.09
"can",0.09
"cheaper",0.09
"check",0.09
"clean",0.09
"cute",0.09
"drivers",0.09
"english",0.09
"far",0.09
"generally",0.09
"leave",0.09
"locals",0.09
"looking",0.09
"money",0.09
"need",0.09
"next",0.09
"night",0.09
"option",0.09
"outside",0.09
"people",0.09
"price",0.09
"probably",0.09
"selection",0.09
"staff",0.09
"stay",0.09
"still",0.09
"take",0.09
"tend",0.09
"things",0.09
"though",0.09
"time",0.09
"without",0.09
"accept",0.08
"across",0.08
"anywhere",0.08
"atmosphere",0.08
"avoid",0.08
"bars",0.08
"book",0.08
"budget",0.08
"crowded",0.08
"day",0.08
"decent",0.08
"drink",0.08
"else",0.08
"especially",0.08
"every",0.08
"everything",0.08
"excellent",0.08
"fairly",0.08
"free",0.08
"fresh",0.08
"front",0.08
"getting",0.08
"happy",0.08
"hard",0.08
"help",0.08
"hotels",0.08
"know",0.08
"local",0.08
"lots",0.08
"lovely",0.08
"menu",0.08
"mind",0.08
"past",0.08
"pick",0.08
"places",0.08
"quiet",0.08
"rather",0.08
"room",0.08
"rooms",0.08
"run",0.08
"sell",0.08
"set",0.08
"shop",0.08
"side",0.08
"sit",0.08
"slightly",0.08
"small",0.08
"something",0.08
"standard",0.08
"tends",0.08
"two",0.08
"usual",0.08
"watch",0.08
"well",0.08
"able",0.07
"almost",0.07
"another",0.07
"atms",0.07
"charge",0.07
"choice",0.07
"common",0.07
"compared",0.07
"consider",0.07
"costs",0.07
"couple",0.07
"difficult",0.07
"dishes",0.07
"drinks",0.07
"driver",0.07
"end",0.07
"extra",0.07
"extremely",0.07
"feel",0.07
"going",0.07
"hand",0.07
"idea",0.07
"large",0.07
"left",0.07
"let",0.07
"long",0.07
"lot",0.07
"meal",0.07
"miss",0.07
"note",0.07
"nothing",0.07
"opposite",0.07
"per",0.07
"plenty",0.07
"police",0.07
"prepared",0.07
"quality",0.07
"real",0.07
"restaurant",0.07
"ride",0.07
"seem",0.07
"selling",0.07
"serve",0.07
"shops",0.07
"smaller",0.07
"spend",0.07
"staying",0.07
"stop",0.07
"ticket",0.07
"top",0.07
"trip",0.07
"typical",0.07
"unless",0.07
"use",0.07
"wait",0.07
"worry",0.07
