"","london"
"pubs",0.18
"uk",0.17
"services",0.16
"england",0.15
"reading",0.13
"centre",0.12
"coach",0.12
"high",0.12
"pub",0.12
"trains",0.12
"ales",0.11
"charity",0.11
"operated",0.11
"victoria",0.11
"ale",0.1
"king's",0.1
"britain",0.09
"changing",0.09
"cinema",0.09
"cricket",0.09
"junction",0.09
"links",0.09
"motorway",0.09
"queens",0.09
"rail",0.09
"regular",0.09
"rugby",0.09
"takeaway",0.09
"towns",0.09
"british",0.08
"express",0.08
"jack",0.08
"journey",0.08
"link",0.08
"manchester",0.08
"market",0.08
"operate",0.08
"railway",0.08
"sir",0.08
"train",0.08
"trust",0.08
"coaches",0.07
"council",0.07
"cycle",0.07
"dual",0.07
"english",0.07
"estuary",0.07
"miles",0.07
"motorways",0.07
"quay",0.07
"seafront",0.07
"venue",0.07
"victorian",0.07
