"","luxury"
"private",0.14
"boutique",0.13
"resort",0.13
"exclusive",0.12
"hotel",0.12
"villas",0.12
"luxurious",0.11
"star",0.11
"suites",0.11
"vacation",0.11
"bedroom",0.1
"offering",0.1
"offers",0.1
"rentals",0.1
"rooms",0.1
"spa",0.1
"spacious",0.1
"views",0.1
"budget",0.09
"dining",0.09
"expensive",0.09
"fully",0.09
"offer",0.09
"range",0.09
"villa",0.09
"amenities",0.08
"bay",0.08
"cheap",0.08
"chic",0.08
"equipped",0.08
"excellent",0.08
"golf",0.08
"heart",0.08
"holiday",0.08
"hotels",0.08
"lodge",0.08
"pool",0.08
"set",0.08
"swimming",0.08
"apartments",0.07
"breakfast",0.07
"class",0.07
"companies",0.07
"courses",0.07
"cruise",0.07
"friendly",0.07
"great",0.07
"modern",0.07
"per",0.07
"prices",0.07
"properties",0.07
"property",0.07
"retreat",0.07
"room",0.07
"stylish",0.07
"tours",0.07
