"","major"
"cities",0.27
"airport",0.16
"airports",0.16
"areas",0.15
"hub",0.14
"flights",0.13
"highways",0.13
"congestion",0.12
"domestic",0.12
"largest",0.12
"rail",0.12
"routes",0.12
"served",0.12
"airlines",0.11
"capital",0.11
"city",0.11
"connected",0.11
"connects",0.11
"east-west",0.11
"generally",0.11
"hubs",0.11
"parts",0.11
"regions",0.11
"states",0.11
"throughout",0.11
"well",0.11
"companies",0.1
"connecting",0.1
"especially",0.1
"european",0.1
"home",0.1
"region",0.1
"regional",0.1
"service",0.1
"services",0.1
"shopping",0.1
"system",0.1
"trains",0.1
"united",0.1
"university",0.1
"york",0.1
"borders",0.09
"central",0.09
"commercial",0.09
"common",0.09
"crime",0.09
"eastern",0.09
"heavy",0.09
"important",0.09
"including",0.09
"known",0.09
"language",0.09
"languages",0.09
"lines",0.09
"many",0.09
"million",0.09
"network",0.09
"new",0.09
"often",0.09
"roads",0.09
"rural",0.09
"spoken",0.09
"stations",0.09
"towns",0.09
"traffic",0.09
"widely",0.09
"within",0.09
"airport'''",0.08
"almost",0.08
"also",0.08
"american",0.08
"avoid",0.08
"business",0.08
"cabs",0.08
"carriers",0.08
"cars",0.08
"city's",0.08
"connect",0.08
"direct",0.08
"diverse",0.08
"downtown",0.08
"due",0.08
"fares",0.08
"government",0.08
"include",0.08
"industrial",0.08
"industry",0.08
"large",0.08
"less",0.08
"locations",0.08
"majority",0.08
"railway",0.08
"region's",0.08
"regular",0.08
"relatively",0.08
"smaller",0.08
"state",0.08
"stops",0.08
"tourist",0.08
"transit",0.08
"travel",0.08
"urban",0.08
"although",0.07
"area",0.07
"asian",0.07
"busiest",0.07
"card",0.07
"centers",0.07
"college",0.07
"countries",0.07
"driving",0.07
"east",0.07
"english",0.07
"ethnic",0.07
"extensive",0.07
"foreign",0.07
"form",0.07
"india",0.07
"intercity",0.07
"kennedy",0.07
"like",0.07
"much",0.07
"northern",0.07
"offer",0.07
"part",0.07
"plains",0.07
"populous",0.07
"tend",0.07
"three",0.07
"usually",0.07
"western",0.07
"widespread",0.07
"world",0.07
