"","marine"
"dive",0.2
"diving",0.2
"island",0.19
"coral",0.18
"reef",0.17
"scuba",0.16
"snorkel",0.16
"snorkeling",0.16
"whale",0.16
"bay",0.15
"divers",0.15
"islands",0.15
"sea",0.14
"waters",0.14
"beach",0.13
"boat",0.13
"padi",0.13
"reefs",0.13
"saltwater",0.13
"turtles",0.13
"underwater",0.12
"whales",0.12
"fishing",0.11
"kayaking",0.11
"nesting",0.11
"coast",0.1
"dives",0.1
"life",0.1
"sand",0.1
"sound",0.1
"aquarium",0.09
"beaches",0.09
"creatures",0.09
"dock",0.09
"dolphins",0.09
"ferry",0.09
"fish",0.09
"harbor",0.09
"kayak",0.09
"lighthouse",0.09
"ocean",0.09
"pacific",0.09
"peninsula",0.09
"protected",0.09
"sailing",0.09
"tide",0.09
"alaska",0.08
"birds",0.08
"boats",0.08
"charters",0.08
"coastline",0.08
"cove",0.08
"dolphin",0.08
"habitat",0.08
"inlet",0.08
"island'''",0.08
"marina",0.08
"offshore",0.08
"operators",0.08
"seafood",0.08
"seals",0.08
"sharks",0.08
"sheltered",0.08
"shoreline",0.08
"species",0.08
"tip",0.08
"tropical",0.08
"yacht",0.08
"barrier",0.07
"camping",0.07
"ferries",0.07
"mainland",0.07
"port",0.07
"pristine",0.07
"sandy",0.07
"shark",0.07
"ship",0.07
"shore",0.07
"tours",0.07
"visibility",0.07
"watching",0.07
"water",0.07
"william",0.07
