"","mayhigh"
"aprhigh",1
"aprlow",1
"aughigh",1
"auglow",1
"dechigh",1
"declow",1
"febhigh",1
"feblow",1
"janlow",1
"julhigh",1
"jullow",1
"junhigh",1
"junlow",1
"marhigh",1
"novlow",1
"octhigh",1
"octlow",1
"sephigh",1
"seplow",1
"janhigh",0.99
"maylow",0.99
"novhigh",0.99
"aprprecip",0.98
"augprecip",0.98
"decprecip",0.98
"febprecip",0.98
"janprecip",0.98
"julprecip",0.98
"junprecip",0.98
"marprecip",0.98
"octprecip",0.98
"sepprecip",0.98
"mayprecip",0.97
"novprecip",0.95
"marlow",0.91
"metric",0.86
"units",0.53
"everyday",0.13
"climate",0.11
"city's",0.1
"dragon",0.1
"average",0.09
"drivers",0.08
"flights",0.08
"generally",0.08
"imperial",0.08
"relative",0.08
"tickets",0.08
"winters",0.08
"egyptian",0.07
"paved",0.07
"uses",0.07
