"","mayprecip"
"aprprecip",0.99
"augprecip",0.99
"decprecip",0.99
"febprecip",0.99
"janprecip",0.99
"julprecip",0.99
"junprecip",0.99
"octprecip",0.99
"sepprecip",0.99
"marprecip",0.98
"aprhigh",0.97
"aprlow",0.97
"aughigh",0.97
"auglow",0.97
"dechigh",0.97
"declow",0.97
"febhigh",0.97
"feblow",0.97
"janlow",0.97
"julhigh",0.97
"jullow",0.97
"junhigh",0.97
"junlow",0.97
"marhigh",0.97
"mayhigh",0.97
"novlow",0.97
"octhigh",0.97
"octlow",0.97
"sephigh",0.97
"seplow",0.97
"janhigh",0.96
"maylow",0.96
"novhigh",0.96
"novprecip",0.96
"marlow",0.88
"metric",0.83
"units",0.51
"climate",0.11
"everyday",0.11
"city's",0.1
"average",0.09
"dragon",0.09
"drivers",0.08
"imperial",0.08
"tickets",0.08
"winters",0.08
"communist",0.07
"egyptian",0.07
"flights",0.07
"generally",0.07
"paved",0.07
"relative",0.07
